YAL003W	ENSP00000376056	ENSP00000236957
YPR056W	ENSP00000228955	ENSP00000445162
YPR086W	ENSP00000359531	ENSP00000359531
YPR094W	ENSP00000216252	ENSP00000216252
YPR105C	ENSP00000315775	ENSP00000315775
YPR110C	ENSP00000361465	ENSP00000361465
YPR112C	ENSP00000261741	ENSP00000442053
YPR144C	ENSP00000328854	ENSP00000328854
YPR162C	ENSP00000264169	ENSP00000376597
YPR168W	ENSP00000255764	ENSP00000255764
YPR175W	ENSP00000216367	ENSP00000216367
YPR178W	ENSP00000363313	ENSP00000363313
YPR180W	ENSP00000270225	ENSP00000270225
YPR190C	ENSP00000334564	ENSP00000464345
YDR376W	ENSP00000293195	ENSP00000416515
YNL182C	ENSP00000251289	ENSP00000251289
YDR339C	ENSP00000344393	ENSP00000344393
