PRO ID 	Category 	UniProtKB ID 	

PR:000004812	gene	P29056; Q20429; Q54U85; Q8CFK2; Q92994; Q9P6R0; Q9VEL2
PR:000004776	gene	E7F349; F4IDR3; O94653; Q08965; Q14692; Q54JS8; Q6PGF5; Q9N306; Q9VVC9
PR:000004684	gene	D3ZB65; E1BUA8; O64885; O74907; Q06338; Q23402; Q54MU5; Q5BJJ7; Q9CWI3; Q9P287; Q9VFR0
PR:000004016	gene	B2RYJ1; B8JLK0; P34514; Q551S9; Q874R3; Q8BZQ7; Q9UJX6; Q9W1E5
PR:000004014	gene	D3ZXH8; Q08BH9; Q20052; Q54L48; Q7KA43; Q9CPX9; Q9NYG5; Q9UT86
PR:000003943	gene	F1QPS1; F4IBV4; G3V6U3; P43636; Q19265; Q7KWM5; Q96WW6; Q9DBE8; Q9H553; Q9VZU8
PR:000003942	gene	E1C1M5; F1QA33; O14199; P38242; Q54G73; Q6AY85; Q84R09; Q96F25; Q9D081; Q9VXU7
PR:000003937	gene	B3H5N4; E1BRK4; F1Q8U9; O13933; P16661; P90522; Q22797; Q921Q3; Q9BT22; Q9VEE9
PR:000003915	gene	B8JLK4; P05373; P06214; P0ACB2; P10518; P13716; P78974; Q55E06; Q9SFH9; Q9VTV9
PR:000003854	gene	O13639; O23255; P10760; P10819; P23526; P27604; P39954; P50247; Q27580; Q803T5
PR:000003794	gene	D3ZW08; F1R293; O60105; P0AB89; P21265; P30566; P54822; Q05911; Q21774; Q54J34; Q8GUN7; Q9VEP6
PR:000003610	gene	E1C0Q5; P17764; P24752; P41338; Q22100; Q6AZA0; Q86AD9; Q8QZT1; Q9UQW6; Q9W3N9
PR:000003591	gene	O44734; P53743; Q4KLM5; Q503Z6; Q54BL2; Q6NM71; Q9QYL7; Q9ULW3; Q9W394
PR:000003568	gene	D3ZD23; P61221; P61222; Q03195; Q6TNW3; Q8LPJ4; Q8T8P2; Q8YD77; Q9U2K8; Q9VSS1
PR:000003552	gene	E1C0W9; E7F6F7; G4SRS5; O14286; O75027; P40416; Q61102; Q704E8; Q8T9W2; Q9LVM1; Q9W0C5

PR:000006147	gene	P10614; Q09736; Q16850; Q1JPY5; Q1ZXH9; Q64654; Q8K0C4; Q9SAA9
PR:000006059	gene	P53333; Q08C72; Q17336; Q55G70; Q5ZKA3; Q8C5N3; Q9HCG8; Q9P6R9; Q9SAG7; Q9VJ87
PR:000005978	gene	F1M4W7; F1QIB2; O14233; P25298; P25991; Q12996; Q19866; Q54LG7; Q5F4A0; Q8GUP1; Q99LI7
PR:000005929	gene	D3ZPR0; E1BV44; O13671; P33307; P55060; Q54E36; Q7SZC2; Q965V4; Q9ERK4; Q9XZU1; Q9ZPY7
PR:000005852	gene	F1QK38; O35427; O75575; P47076; Q0G841; Q54LP2; Q7XJ61; Q8VHM6; Q9C0Z9; Q9VX99
PR:000005829	gene	D3Z9E6; F1NMN0; F1QVV4; O17403; O35218; O74740; Q55BS1; Q9LKF9; Q9P2I0; Q9V3D6
PR:000005826	gene	P11353; P36551; P36552; Q1LY08; Q3B7D0; Q54IA7; Q9LR75; Q9UTE2; Q9V3D2
PR:000005737	gene	F1NB52; P32074; P87140; Q0WW26; Q22498; Q4AEF8; Q8I0G5; Q9QZE5; Q9Y678
PR:000005734	gene	P23514; P41810; P45437; P53618; Q23924; Q5ZIA5; Q66HV4; Q9JIF7; Q9TYL9; Q9UUF7
PR:000005687	gene	D3ZZM3; F1NHU0; O74990; Q06096; Q29RB1; Q55FT5; Q8LDU5; Q8R1U1; Q95TN4; Q95XZ0; Q9H9E3
PR:000005624	gene	O59771; P15700; P20425; P30085; Q4KM73; Q5ZKE7; Q6NMK6; Q7ZWE9; Q9DBP5; Q9VBI2
PR:000005598	gene	E7F3I6; P52874; Q08685; Q10299; Q54N48; Q5PQL4; Q5ZJL4; Q7K284; Q92989; Q99LI9; Q9SR06
PR:000005489	gene	Q5XID1; Q5ZJA2; Q6AZB3; Q6FI81; Q8WTY4; Q9V3Y2
PR:000005488	gene	O76071; O80990; Q05583; Q55DA2; Q5M7T1; Q6P0D9; Q7K1Y4; Q99KN2; Q9XW12
PR:000005372	gene	E1C5B2; F1QTS7; G3V821; O15182; O35648; O74435; P06704
PR:000005265	gene	E1C8L2; G5EFV5; P06242; P50613; P51952; P54685; Q03147; Q12126; Q24216; Q2V6H0
PR:000005251	gene	O14735; P06197; P70500; Q10153; Q54P27; Q6DRN8; Q8LBA6; Q8SX37; Q8VDP6; Q9U2G1
PR:000005218	gene	B0UYI0; D4A8S5; O00311; O01493; P06243; Q9Z0H0
PR:000005215	gene	E1BYS7; O74113; O75419; O96989; Q08032; Q55GA4; Q7JMR0; Q7ZU79; Q9LSG6; Q9Z1X9
PR:000005204	gene	P19073; P40793; P60766; P60953; Q01112; Q05062; Q52WY2; Q8CFN2; Q90694
PR:000005195	gene	A2A6Q5; F1Q5X3; P10505; P30260; P38042; Q4V8A2; Q5ZK91; Q8LGU6; Q9VS37
PR:000005190	gene	F1LRQ6; O94556; P16522; Q19294; Q7ZVH3; Q86B11; Q8BGZ4; Q9I7L8; Q9STS3; Q9UJX2
PR:000005187	gene	B0S729; B3DNN5; P09798; P41889; Q13042; Q1ZXE6; Q4V884; Q8R349; Q9VCN6
PR:000005183	gene	E1BTR2; O75794; Q05791; Q62834; Q6PC40; Q75JF9; Q8CII2; Q9M0V1; Q9P7N5

PR:000006963	gene	B3H7H1; F1NAP1; O76863; P32502; P49770; Q54EY2; Q62818; Q6NXC7; Q99LD9; Q9UT76; Q9XWD5
PR:000006905	gene	B5DEN5; O70251; O74173; O96827; P24534; P32471; P34460; Q6IQE2; Q9GRF8
PR:000006760	gene	F1QV95; P33316; P33317; P70583; Q54BW5; Q5ZKJ3; Q8VCG1; Q9P6Q5; Q9STG6; Q9V3I1
PR:000006685	gene	O14348; O45550; Q01658; Q08BR1; Q55DJ5; Q5XI68; Q5ZMV3; Q91WV0; Q92317; Q9VJQ5
PR:000006656	gene	D4A8N1; F4HUK8; O14466; O60762; O70152; P14020; Q54LP3; Q6DEJ9; Q9TYJ7; Q9VIU7
PR:000006643	gene	A2BFS6; P07286; P0CD61; P42867; P42881; Q6P4Z8; Q9H3H5; Q9U1Z2; Q9VK30
PR:000006635	gene	A1ZAI1; D3ZLM6; F1R8F1; F4J4C8; Q56VX7; Q8R2Y3; Q9UPQ8; R4GI61
PR:000006554	gene	F1Q892; F4HXR6; P38859; P51530; Q20371; Q5ZKG3; Q6ZQJ5; Q86IV6; Q8IRL9; Q9URU2
PR:000006498	gene	F1Q749; O14007; O17919; O44081; O60832; P33322; P40615; Q54T81; Q5ZJH9; Q9ESX5; Q9LD90
PR:000006491	gene	E1BXX6; E7FE01; F4INI6; P37202; Q08162; Q17632; Q54BH9; Q9CSH3; Q9VC93; Q9Y2L1
PR:000006473	gene	A1Z9L3; A2A4P0; E7F7E3; O42643; P24384; Q09530; Q14562; Q38953; Q54F05
PR:000006472	gene	F1QND0; F4K2E9; P34498; Q80X98; Q92620; Q9P774; Q9VY54
PR:000006461	gene	O94337; P38791; P49366; Q3TXU5; Q54MQ7; Q6AY53; Q6NYK1; Q9FI94; Q9VSF4; Q9XXJ0
PR:000006455	gene	E1C3V5; F1R4X6; O14171; P35196; Q54EN3; Q5FC21; Q5U2T2; Q86SQ9; Q8S2T1; Q99KU1; Q9W3M6
PR:000006377	gene	O74974; P40498; Q54HT2; Q5M9G7; Q5ZLG3; Q68CQ4; Q6PEH4; Q8BTT6; Q8H1E7; Q9U2I4; Q9W1G1
PR:000006370	gene	O74764; P25808; P34640; Q54EC2; Q5ZLN8; Q6ZPL9; Q8JHJ2; Q8NHQ9; Q9FLB0; Q9VHU1
PR:000006369	gene	O49289; Q09719; Q12389; Q54CD8; Q688Z4; Q8JGR2; Q8K4L0; Q8SY39; Q8TDD1
PR:000006368	gene	P26802; P53734; Q54BD6; Q6DRI7; Q6P9R1; Q76PD3; Q7FGZ2; Q8N8A6
PR:000006356	gene	F1QLW8; O61815; Q03532; Q09916; Q54S03; Q5XHY0; Q8K363; Q9NVP1; Q9VD51
PR:000006352	gene	O54734; O59866; P33767; P39656; P45971; P48440; Q24319; Q54E62; Q641Y0; Q6NYS8; Q944K2
PR:000006347	gene	F1Q964; P35638; P35639; Q62857
PR:000006319	gene	Q803B9; Q8IU60; Q9CYC6
PR:000006281	gene	F1R246; O74407; P04802; P14868; P15178; Q03577; Q5ZJQ6; Q75JQ1; Q7K0E6; Q922B2; Q9M084
PR:000006266	gene	A7E2L0; O13113; O14238; P46964; P52872; P61803; P61804; P61805; Q54FB6; Q9VLM5

PR:000007448	gene	B8JKU0; F1NFJ9; P29704; P36596; P37268; P53798; P53799; Q02769; Q54DR1
PR:000007433	gene	O13610; O82346; Q05498; Q1RP75; Q55GM5; Q93638; Q9CTH6; Q9VL75; Q9Y324
PR:000007427	gene	F1RCB5; Q8VBV4; Q93794; Q969H0
PR:000007347	gene	F1Q820; O42849; P15624; Q19713; Q550D2; Q5ZJ61; Q68FT7; Q9NSD9; Q9SGE9; Q9VCA5; Q9WUA2
PR:000007346	gene	O42870; P15625; Q1JPX3; Q505J8; Q54KS8; Q8C0C7; Q9GYS8; Q9T034; Q9W3J5; Q9Y285
PR:000007266	gene	O74918; Q05636; Q06265; Q20128; Q4QR75; Q55BJ2; Q5XJQ5; Q6B7Z6; Q8T4A9; Q9JHI7; Q9M209
PR:000007262	gene	F1LSX7; G5EG59; O42894; P53256; Q54Q83; Q9CRA8; Q9LX74; Q9NQT4; Q9VGZ2
PR:000007261	gene	F1QHK4; O42872; P46948; Q17533; Q54EU6; Q921I9; Q9NPD3; Q9SP08; Q9VK19
PR:000007259	gene	D3ZBP3; F1NGC4; F8W3K6; P38792; Q09704; Q13868; Q54EV5; Q8VBV3; Q95XD0; Q9W1M9; Q9ZVT7
PR:000007256	gene	F1QE13; O54924; P38261; Q5ZJ43; Q6PGF7; Q7KRZ3; Q8IYI6; Q95Q35
PR:000007252	gene	B0BLY0; B0G163; O00471; O13705; P97878; Q06245; Q18406; Q3TPX4; Q8RVQ5; Q9XTM1
PR:000007214	gene	E1BTM1; O16520; P12385; P62495; P79063; Q5U2Q7; Q803E5; Q8BWY3; Q9BMX0; Q9VPH7
PR:000007165	gene	O00835; O13768; P19447; P49135; Q00578; Q02870; Q4G005; Q5ZKK7; Q7ZVV1; Q95PZ4
PR:000007164	gene	F1Q5E7; O08811; P06839; P18074; P26659; Q55G81; Q7KVP9; Q8W4M7; Q9N3L2
PR:000007015	gene	O44476; P36159; Q10155; Q80Y81; Q86IU3; Q8CGS5; Q8MKW7; Q8VYS2; Q9BQ52
PR:000007007	gene	O55135; O62106; O94476; P56537; P56538; Q12522; Q3KRD8; Q551M2; Q6ZM19; Q9M060
PR:000007006	gene	E1BVP1; F1QB47; F4I420; G5EGT7; O60841; P39730; Q05D44; Q10251; Q54XP6; Q9VZP5
PR:000007002	gene	P38431; P55010; P59325; Q09689; Q22918; Q54LA1; Q7ZWA9; Q9VXK6
PR:000006988	gene	P38919; Q10055; Q12099; Q3B8Q2; Q55D61; Q5ZM36; Q7ZVA6; Q91VC3; Q94A52; Q9VHS8
PR:000006981	gene	E1C6T8; O02195; P40217; P79083; Q13347; Q54MT0; Q7ZV55; Q965S8; Q9QZD9
PR:000006979	gene	O75821; P78795; Q04067; Q19706; Q54WM4; Q5RK09; Q6DRC4; Q9FI86; Q9VDM6; Q9Z1D1
PR:000006973	gene	E1BSS3; O74760; P23116; P34339; P38249; Q14152; Q1JU68; Q6PCR7; Q86B20; Q9LD55; Q9VN25
PR:000006971	gene	P05198; P20459; P41374; P56286; P68101; Q5ZLX2; Q6ZWX6; Q869N9; Q9BKU3
PR:000006964	gene	A1ZA22; B1AUN2; P09032; P56288; P70541; P80361; Q1G3F7; Q54FQ8; Q7ZTY5; Q9NR50

PR:000008316	gene	B8JHR3; E1BXD0; O94424; P13984; P41896; P41900; Q01750; Q54KT7; Q8MYM8; Q8R0A0; Q9LQZ4
PR:000008313	gene	A2BIH7; O13749; O16991; P29052; P29055; P62915; P62916; Q00403; Q54FD6
PR:000008310	gene	O08949; O44625; P52654; P52655; Q5TYT6; Q99PM3; Q9USU9
PR:000008182	gene	E1C8Z1; O14443; Q06543; Q54NK8; Q6R518; Q8W4C1; Q9D3W4; Q9UHW5; Q9VI70; Q9XW68
PR:000008181	gene	D4A7C0; O01426; Q08726; Q54TE7; Q56XY2; Q6PUR6; Q8VEJ1; Q9H9Y4; Q9UTL7; Q9VU67
PR:000008180	gene	F1R8Z3; O42906; P46577; P47122; Q54C25; Q8VCE2; Q8W586; Q9HCN4; Q9V3R3
PR:000008158	gene	E7EZX6; F4JZM4; O43292; P39012; Q6AYM8; Q95X60; Q9US48; Q9W464; Q9WTK3
PR:000008124	gene	B1H249; E1C0V1; O13738; P43577; Q17427; Q4VBJ4; Q54WR8; Q96EK6; Q9JK38; Q9LFU9; Q9VAI0
PR:000008116	gene	E1BVP8; F1Q9A5; O14236; P53742; Q13823; Q4KLJ3; Q54VK1; Q7JXU4; Q99LH1; Q9C923; Q9XXN4
PR:000008076	gene	A3QMC8; D4A746; O74484; P41940; Q54K39; Q6DBU5; Q7JZB4; Q8BTZ7; Q9Y5P6
PR:000008058	gene	P09606; P15104; P15105; P16580; P20478; P32288; Q09179; Q9U307
PR:000008024	gene	E1BT81; O94652; Q0WPZ7; Q12315; Q4KLN4; Q53GS7; Q55FW7; Q6DRB1; Q8R322; Q9V4W1
PR:000007985	gene	F1QJF7; Q03406; Q499W2; Q55EA2; Q6NQP5; Q99LZ3; Q9BRT9; Q9P7C8; Q9U2W9; Q9VBI1
PR:000007984	gene	D3Z9I4; E1C7B9; F1QXM4; Q12146; Q54EH6; Q6NNH6; Q9BL54; Q9BRX5; Q9CY94; Q9UTC3; Q9W2V7
PR:000007983	gene	D3ZSY6; O62193; O94329; P40359; Q4VBJ6; Q54BL9; Q9C7A8; Q9D600; Q9VQY9; Q9Y248
PR:000007982	gene	B2RZ16; F1RAD9; Q12488; Q14691; Q22019; Q54HR6; Q9CZ15; Q9P7X6; Q9SSC0; Q9W0I7
PR:000007940	gene	A4QNU9; O14144; O44975; P27882; P55789; P56213; Q63042; Q75JQ5; Q7KUU5; Q8GXX0
PR:000007893	gene	E7FGQ8; O13774; P22288; P30793; P48596; P50141; P51601; Q05915; Q19980; Q94465
PR:000007659	gene	P36608; P62166; P62167; P62168; Q06389; Q09711; Q8BNY6
PR:000007591	gene	A1L1V1; O44501; O60052; P29703; P49354; Q04631; Q54RT9; Q61239; Q9VR31
PR:000007453	gene	D3ZBM3; F1R362; O42479; O59786; P16622; P22315; P22830; P42043; Q54IA8; Q9V9S8
PR:000007452	gene	E7FB58; O59710; P22570; P48360; P56522; Q54KG7; Q61578; Q8W3L1; Q9U1X0; Q9V3T9
PR:000007451	gene	D4A8N2; P37193; Q08C57; Q12184; Q55GW1; Q6P4F2; Q8S904; Q9CPW2; Q9NA32
PR:000007449	gene	F1QEG3; O14230; O62336; P05369; P08524; P14324; Q7KN61; Q920E5; Q9NH03

PR:000010242	gene	F1NB20; H9GXA1; P29469; P40377; P49735; P49736; P97310; Q54LI2; Q9LPD9; Q9XXI9
PR:000010091	gene	E1BX01; F4I4Q1; P10962; Q18035; Q55DJ3; Q5EB56; Q6NYD4; Q8BGS0; Q9BXY0; Q9UTE6; Q9W3B2
PR:000009971	gene	O74184; P41318; P91040; Q54D08; Q803V5; Q9BVC4; Q9DCJ1; Q9LV27; Q9W328; Q9Z2K5
PR:000009969	gene	B0S5M5; P38604; P48449; P48450; Q10231; Q55D85; Q8BLN5
PR:000009963	gene	A7E2L8; E1BT25; O18694; O42978; P40089; P62322; Q55EX5; Q9FKB0; Q9VRT7; Q9Y4Y9
PR:000009962	gene	E1C4H6; F4K4E3; O14352; P40070; Q19952; Q54KX4; Q6P6E4; Q9QXA5; Q9VKW8; Q9Y4Z0
PR:000009800	gene	B0S533; P04819; P12000; P18858; P37913; Q27474; Q42572; Q869E1; Q9JHY8; Q9W1H4
PR:000009675	gene	A2BE28; A2CF03; F4JZH9; O42936; P36146; Q75JW2; Q8SZY9; Q9U1T1; Q9Y4W2
PR:000009674	gene	E1C2I9; F4I116; P26637; Q10490; Q54N83; Q8BMJ2; Q9P2J5; Q9VQR8
PR:000009449	gene	F1R1V6; O16311; O74777; P25586; Q13601; Q54UU6; Q8BGA5; Q9FT93; Q9VPU8
PR:000009276	gene	D3Z9P1; F1NJB4; F1QWW8; P38342; Q06136; Q556J2; Q6GV12; Q9VBU5
PR:000009241	gene	F1NE72; P15180; Q15046; Q54TY4; Q5XIM7; Q6DHE6; Q95ZQ3; Q99MN1; Q9UUE6; Q9W327; Q9ZPI1
PR:000009016	gene	C7G018; O13823; O62518; P53941; Q5PQR5; Q6DI25; Q8VHZ7; Q96G21; Q9S826; Q9VBY2
PR:000009015	gene	A5WV64; B2RZ12; O01513; O13835; P32899; Q54XG2; Q683D4; Q7JZ53; Q921Y2; Q9NV31
PR:000008876	gene	E1BQH2; F1QSY7; F4JLM5; O13651; P09436; P41252; Q21926; Q54YD4; Q8BU30; Q8MSW0
PR:000008828	gene	O94446; Q08649; Q8CHK4; Q92993; Q960X4; Q99MK2; Q9TYU5
PR:000008824	gene	P10809; P19882; P50140; P63038; Q09864; Q54J97; Q5ZL72; Q803B0
PR:000008769	gene	A8JNT7; B0V1J6; D3ZME7; P53193; Q21324; Q8IWL3; Q8K3A0; Q8L7K4
PR:000008623	gene	P06983; P08397; P19356; P22907; P28789; Q09899; Q43316; Q54P93; Q9W0G4
PR:000008617	gene	D4AA38; E1C4U9; F1QPM3; O14353; P48445; P50747; Q54I33; Q920N2; Q9BI98; Q9SL92; Q9VNC3
PR:000008497	gene	E1C805; G3X9B1; O60179; P42945; Q23495; Q54ML4; Q7SY48; Q9C8Z4; Q9H583; Q9VM75
PR:000008336	gene	O44411; O94659; Q02892; Q54N72; Q5ZM18; Q6DRI5; Q99ME9; Q9BZE4; Q9V411
PR:000008327	gene	D4A7Q9; O74458; P33339; Q3TMP1; Q54YB5; Q7JVW5; Q8GUP0; Q95PV7; Q9Y5Q9
PR:000008319	gene	A5WWE3; O74366; Q09645; Q12004; Q13889; Q561R7; Q86IB5; Q8LF41; Q8VD76; Q9VPX4

PR:000011203	gene	O74690; P39990; P55769; P55770; Q21568; Q54ST0; Q9D0T1; Q9U3Z7
PR:000011202	gene	B1WC56; P32495; Q54H53; Q6PBV6; Q9CRB2; Q9LEY9; Q9NX24; Q9P7H0; Q9V3U2; Q9XXD4
PR:000011081	gene	D3ZF13; E1C4C0; F1R611; O14561; O80800; P32463; Q10217; Q54E22; Q94519; Q9CR21; Q9U241
PR:000011057	gene	A2AI05; E1BY65; O94613; Q12181; Q54JL0; Q6NPS8; Q6PFP6; Q9UHB4; Q9VSJ5
PR:000011050	gene	O14777; P40460; Q10198; Q17635; Q54QB4; Q6DRJ7; Q76I89; Q9D0F1; Q9M1G5; Q9VYB1
PR:000011024	gene	A2BG39; P38170; Q15003; Q54DR4; Q564K3; Q8C156; Q9VIP9; Q9Y7R3
PR:000011022	gene	A1Z987; D3ZD72; E1C181; E9PWG6; F1QJY8; F4K790; Q06680; Q10429; Q9BPX3
PR:000010995	gene	A5WVQ0; O01757; P53914; P87115; Q55EJ3; Q8K224; Q9H0A0; Q9M2Q4; Q9W3C1
PR:000010958	gene	O14360; P53919; Q3UMQ8; Q96HR8; Q9VJ62
PR:000010786	gene	A2BGN1; E1BZ79; P07277; P17256; P46086; Q03426; Q09780; Q65XX9; Q7K2V9; Q86AG7; Q9R008
PR:000010785	gene	F1QD05; F4JCU3; O13963; P32377; P53602; Q54YQ9; Q62967; Q99JF5; Q9U294; Q9VXQ3
PR:000010600	gene	D4A131; O17005; Q503X2; Q54RB5; Q8VY61; Q9BYD3; Q9DCU6; Q9V3D0
PR:000010574	gene	D3ZXF9; F1QDE0; O18180; P52815; P53163; Q86KA1; Q9DB15; Q9USJ9; Q9VSR5
PR:000010548	gene	A8MQN4; B1WC86; P40986; Q53F39; Q54X09; Q566Y9; Q5ZK82; Q80XL7; Q95X35; Q9UUH0; Q9VLR9
PR:000010540	gene	O43014; P00946; P29952; P34650; P34949; Q54PA0; Q68FX1; Q924M7; Q9VH77
PR:000010536	gene	E7F5L8; G3V968; O00566; O13910; P47083; Q54X28; Q810V0; Q9FJY5; Q9VLK1; Q9XW58
PR:000010496	gene	B8A5G8; E1BVP0; O17245; P51948; P51949; Q7KPG8; Q8CIR5
PR:000010306	gene	D4A7V2; E1C6N9; O43513; Q08278; Q7ZV35; Q95Q17; Q9CZB6; Q9GYV9; Q9LYW3
PR:000010305	gene	E1BZ92; F4IXJ7; O75586; P38782; Q54PN3; Q6IQ63; Q8MSX2; Q921D4; Q9N337; Q9US45
PR:000010280	gene	D4A7K6; P45966; P87310; Q06213; Q0VIA1; Q9BTT4; Q9CXU0; Q9GYU7
PR:000010249	gene	O16297; O75001; P33993; P38132; P43299; Q54RU0; Q61881; Q6AYN8; Q7ZVL6; Q9XYU0
PR:000010248	gene	F1NAG0; F1R5P3; F4KAB8; P34647; P49731; P53091; P97311; Q14566; Q62724; Q86B14; Q9V461
PR:000010247	gene	F1QK71; O80786; P29496; P33992; P41389; P49718; Q21902; Q54CP4; Q5ZKL0; Q9VGW6
PR:000010243	gene	P24279; P25205; P25206; P30666; Q54VI9; Q5RIC5; Q5ZMN2; Q9FL33; Q9XVR7; Q9XYU1

PR:000012421	gene	O02115; P04961; P12004; P15873; P17917; P17918; Q03392; Q54K47; Q9DEA3; Q9PTP1
PR:000012034	gene	O43114; O43913; P50874; Q23249; Q24169; Q54C22; Q5F3H9; Q5M7U2; Q6EWX0; Q6P0X9; Q9WUV0
PR:000012033	gene	E1C8I5; F1QRE0; O43929; O88708; P54791; Q6EWX1; Q6P9Z8; Q86AD6; Q9W102; Q9Y794
PR:000012031	gene	F1NDM4; P32833; Q09142; Q13416; Q21037; Q24168; Q38899; Q55CU7; Q60862; Q75PQ8
PR:000012029	gene	A4FVI3; Q8CH62; Q8WV07
PR:000011534	gene	B8A4A1; D3ZTY9; E1BT72; O14325; O15381; Q07844; Q54SY2; Q9DBY8; Q9NAG4; Q9SS94; Q9VS62
PR:000011533	gene	F1NLL4; P33331; P61970; P61971; P61972; Q10100; Q1LUT0; Q21735; Q86HW7
PR:000011530	gene	D3ZFM4; Q12063; Q20118; Q55AK1; Q6DHR8; Q8H0V2; Q96E22; Q99LJ8; Q9VPX8; Q9Y7K8
PR:000011500	gene	P33895; Q10173; Q21952; Q54WM1; Q6AYL9; Q76I90; Q7ZW63; Q8RXJ0; Q99P69; Q9BZD4; Q9VM45
PR:000011477	gene	P40558; Q3B7Q7; Q5ZKV4; Q68FS1; Q76NZ7; Q9R061; Q9UT57; Q9VPD2; Q9Y5Y2
PR:000011476	gene	E1C129; O94442; P52920; P53384; Q5I0L4; Q6P298; Q8H1Q2; Q8T2F3; Q93459; Q9R060; Q9VJI9
PR:000011449	gene	B8JMY3; G3XA30; P43124; Q54T56; Q6BDR8; Q9C689; Q9NXX6; Q9VKV4; Q9XTV3
PR:000011442	gene	E1C279; F1QBS3; O43050; P53199; Q15738; Q54TU9; Q5PPL3; Q9FX01; Q9R1J0
PR:000011325	gene	E1BUS2; F1QG43; O45012; Q12499; Q55FI4; Q6DFW4; Q9P7S7; Q9QZ86; Q9VM69; Q9Y2X3
PR:000011324	gene	O00567; O94514; Q12460; Q21276; Q4KLK7; Q54MT2; Q6DRE5; Q95WY3; Q9D6Z1; Q9LTV0
PR:000011322	gene	E1C936; E7FFS5; F4I0J1; O43051; P78316; Q54K79; Q8R3N1; Q99207; Q9N3Q9; Q9VEJ2
PR:000011312	gene	F1Q4S6; O94676; P53254; Q0WVM5; Q54EN2; Q8IH00; Q8R5K4; Q95XY4; Q9H6R4
PR:000011307	gene	E1BXP3; O74879; P48234; Q19974; Q54D60; Q5RJG1; Q66H99; Q802W4; Q9BSC4; Q9M1J9; Q9V3P2
