PRO ID 	PRO Name 	PRO Term Definition 	Category 	Parent 	

PR:000006981	eukaryotic translation initiation factor 3 subunit I	A protein that is a translation product of the human EIF3I gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000006973	eukaryotic translation initiation factor 3 subunit A	A protein that is a translation product of the human EIF3A gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000006964	translation initiation factor eIF-2B subunit gamma	A protein that is a translation product of the human EIF2B3 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000006498	H/ACA ribonucleoprotein complex subunit 4	A protein that is a translation product of the human DKC1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000006473	ATP-dependent RNA helicase DHX8	A protein that is a translation product of the human DHX8 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000006472	pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16	A protein that is a translation product of the human DHX38 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000006377	digestive organ expansion factor	A protein that is a translation product of the human DIEXF gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000006370	ATP-dependent RNA helicase DDX55	A protein that is a translation product of the human DDX55 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000006369	ATP-dependent RNA helicase DDX54	A protein that is a translation product of the human DDX54 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000006356	ATP-dependent RNA helicase DDX18	A protein that is a translation product of the human DDX18 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000006281	aspartyl-tRNA synthetase, cytoplasmic	A protein that is a translation product of the human DARS gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000006266	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1	A protein that is a translation product of the human DAD1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000006059	pre-mRNA-splicing factor CWC22	A protein that is a translation product of the human CWC22 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000005978	cleavage stimulation factor 77 kDa subunit	A protein that is a translation product of the human CSTF3 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000005929	exportin-2	A protein that is a translation product of the human CSE1L gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000005829	cleavage and polyadenylation specificity factor subunit 2	A protein that is a translation product of the human CPSF2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000005734	coatomer subunit beta	A protein that is a translation product of the human COPB1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000005687	conserved oligomeric Golgi complex subunit 4	A protein that is a translation product of the human COG4 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000005598	pre-mRNA cleavage complex II protein Clp1	A protein that is a translation product of the human CLP1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000005372	centrin-3	A protein that is a translation product of the human CETN3 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000005265	cell division protein kinase 7	A CDK2-related kinase that is a translation product of the human CDK7 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000003270
PR:000005218	cell division cycle 7-related protein kinase	A protein that is a translation product of the human CDC7 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000005215	CDC45-related protein	A protein that is a translation product of the human CDC45 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001

PR:000008316	general transcription factor IIF subunit 2	A protein that is a translation product of the human GTF2F2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000008313	transcription initiation factor IIB	A protein that is a translation product of the human GTF2B gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000008310	transcription initiation factor IIA subunit 1	A protein that is a translation product of the human GTF2A1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000008181	GPN-loop GTPase 2	A protein that is a translation product of the human GPN2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000008180	GPN-loop GTPase 1	A protein that is a translation product of the human GPN1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000008076	mannose-1-phosphate guanyltransferase beta	A protein that is a translation product of the human GMPPB gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000008024	nucleoporin GLE1	A protein that is a translation product of the human GLE1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000007985	DNA replication complex GINS protein SLD5	A protein that is a translation product of the human GINS4 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000007984	DNA replication complex GINS protein PSF3	A protein that is a translation product of the human GINS3 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000007983	DNA replication complex GINS protein PSF2	A protein that is a translation product of the human GINS2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000007982	DNA replication complex GINS protein PSF1	A protein that is a translation product of the human GINS1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000007940	FAD-linked sulfhydryl oxidase ALR	A protein that is a translation product of the human GFER gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000007591	protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	A protein that is a translation product of the human FNTA gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000007452	NADPH:adrenodoxin oxidoreductase, mitochondrial	A protein that is a translation product of the human FDXR gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000007449	farnesyl pyrophosphate synthetase	A protein that is a translation product of the human FDPS gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000007448	squalene synthase	A protein that is a translation product of the human FDFT1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000007433	rRNA-processing protein FCF1	A protein that is a translation product of the human FCF1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000007427	F-box/WD repeat-containing protein 7	A protein that is a translation product of the human FBXW7 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000007347	phenylalanine--tRNA ligase beta subunit	A protein that is a translation product of the human FARSB gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000007346	phenylalanine--tRNA ligase alpha subunit	A protein that is a translation product of the human FARSA gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000007262	exosome complex component RRP46	A protein that is a translation product of the human EXOSC5 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000007256	exocyst complex component 8	A protein that is a translation product of the human EXOC8 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000007252	exocyst complex component 5	A protein that is a translation product of the human EXOC5 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000007214	eukaryotic peptide chain release factor subunit 1	A protein that is a translation product of the human ETF1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001

PR:000011081	acyl carrier protein, mitochondrial	A protein that is a translation product of the human NDUFAB1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000011057	NADPH-dependent diflavin oxidoreductase 1	A protein that is a translation product of the human NDOR1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000011024	condensin complex subunit 2	A protein that is a translation product of the human NCAPH gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000011022	condensin complex subunit 3	A protein that is a translation product of the human NCAPG gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000010600	39S ribosomal protein L4, mitochondrial	A protein that is a translation product of the human MRPL4 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000010548	metallophosphoesterase 1	A protein that is a translation product of the human MPPE1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000010540	mannose-6-phosphate isomerase	A protein that is a translation product of the human MPI gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000010536	U3 small nucleolar ribonucleoprotein protein MPP10	A protein that is a translation product of the human MPHOSPH10 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000010306	mediator of RNA polymerase II transcription subunit 7	A protein that is a translation product of the human MED7 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000010305	mediator of RNA polymerase II transcription subunit 6	A protein that is a translation product of the human MED6 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000010280	mediator of RNA polymerase II transcription subunit 10	A protein that is a translation product of the human MED10 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000010249	DNA replication licensing factor MCM7	A protein that is a translation product of the human MCM7 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000010248	DNA replication licensing factor MCM6	A protein that is a translation product of the human MCM6 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000010247	DNA replication licensing factor MCM5	A protein that is a translation product of the human MCM5 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000010243	DNA replication licensing factor MCM3	A protein that is a translation product of the human MCM3 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000010242	DNA replication licensing factor MCM2	A protein that is a translation product of the human MCM2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000010091	protein MAK16	A protein that is a translation product of the human MAK16 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000009675	LAS1-like protein	A protein that is a translation product of the human LAS1L gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000009016	U3 small nucleolar ribonucleoprotein protein IMP4	A protein that is a translation product of the human IMP4 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000009015	U3 small nucleolar ribonucleoprotein protein IMP3	A protein that is a translation product of the human IMP3 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000008876	isoleucyl-tRNA synthetase, cytoplasmic	A protein that is a translation product of the human IARS gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000008497	HEAT repeat-containing protein 1	A protein that is a translation product of the human HEATR1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000008327	general transcription factor 3C polypeptide 3	A protein that is a translation product of the human GTF3C3 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000008319	general transcription factor IIH subunit 3	A protein that is a translation product of the human GTF2H3 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001

PR:000012701	GPI ethanolamine phosphate transferase 1	A protein that is a translation product of the human PIGN gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000012700	GPI mannosyltransferase 1	A protein that is a translation product of the human PIGM gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000012698	GPI-anchor transamidase	A protein that is a translation product of the human PIGK gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000012652	PHD finger-like domain-containing protein 5A	A protein that is a translation product of the human PHF5A gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000012624	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial	A protein that is a translation product of the human PGS1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000012552	pescadillo	A protein that is a translation product of the human PES1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000012421	proliferating cell nuclear antigen	A protein that is a translation product of the human PCNA gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000012034	origin recognition complex subunit 5	A protein that is a translation product of the human ORC5 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000012033	origin recognition complex subunit 4	A protein that is a translation product of the human ORC4 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000012031	origin recognition complex subunit 2	A protein that is a translation product of the human ORC2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000012029	oral cancer-overexpressed protein 1	A protein that is a translation product of the human ORAOV1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000011534	nuclear valosin-containing protein-like	A protein that is a translation product of the human NVL gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000011530	Nogo-B receptor	A protein that is a translation product of the human NUS1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000011477	cytosolic Fe-S cluster assembly factor NUBP2	A protein that is a translation product of the human NUBP2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000011476	cytosolic Fe-S cluster assembly factor NUBP1	A protein that is a translation product of the human NUBP1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000011449	non-structural maintenance of chromosomes element 4 homolog A	A protein that is a translation product of the human NSMCE4A gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000011325	nucleolar protein 58	A protein that is a translation product of the human NOP58 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000011324	nucleolar protein 56	A protein that is a translation product of the human NOP56 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000011322	nucleolar protein 14	A protein that is a translation product of the human NOP14 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000011307	nucleolar protein 10	A protein that is a translation product of the human NOL10 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000011304	nucleolar complex protein 4	A protein that is a translation product of the human NOC4L gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000011302	nucleolar complex protein 2	A protein that is a translation product of the human NOC2L gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000011300	RNA-binding protein NOB1	A protein that is a translation product of the human NOB1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000011219	nipped-B-like protein	A protein that is a translation product of the human NIPBL gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001

PR:000013369	proteasome subunit beta type-1	A protein that is a translation product of the human PSMB1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000013287	pre-mRNA-processing factor 6	A protein that is a translation product of the human PRPF6 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000013283	U4/U6 small nuclear ribonucleoprotein Prp4	A protein that is a translation product of the human PRPF4 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000013282	pre-mRNA-processing factor 39	A protein that is a translation product of the human PRPF39 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000013279	U4/U6 small nuclear ribonucleoprotein Prp31	A protein that is a translation product of the human PRPF31 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000013278	U4/U6 small nuclear ribonucleoprotein Prp3	A protein that is a translation product of the human PRPF3 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000013277	pre-mRNA-processing factor 19	A protein that is a translation product of the human PRPF19 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000013216	DNA primase large subunit	A protein that is a translation product of the human PRIM2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000013215	DNA primase small subunit	A protein that is a translation product of the human PRIM1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000013026	ribonuclease P/MRP protein subunit POP5	A protein that is a translation product of the human POP5 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000013024	ribonucleases P/MRP protein subunit POP1	A protein that is a translation product of the human POP1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000013002	DNA-directed RNA polymerase III subunit RPC3	A protein that is a translation product of the human POLR3C gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000012989	DNA-directed RNA polymerase II subunit RPB3	A protein that is a translation product of the human POLR2C gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000012987	DNA-directed RNA polymerase II subunit RPB1	A protein that is a translation product of the human POLR2A gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000012984	DNA-directed RNA polymerases I and III subunit RPAC1	A protein that is a translation product of the human POLR1C gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000012970	DNA polymerase epsilon subunit 2	A protein that is a translation product of the human POLE2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000012969	DNA polymerase epsilon catalytic subunit A	A protein that is a translation product of the human POLE gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000012963	DNA polymerase delta catalytic subunit	A protein that is a translation product of the human POLD1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000012961	DNA polymerase alpha subunit B	A protein that is a translation product of the human POLA2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000012911	mitochondrial-processing peptidase subunit alpha	A protein that is a translation product of the human PMPCA gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000012881	pleiotropic regulator 1	A protein that is a translation product of the human PLRG1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000012707	GPI transamidase component PIG-T	A protein that is a translation product of the human PIGT gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000012706	GPI transamidase component PIG-S	A protein that is a translation product of the human PIGS gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000012703	phosphatidylinositol N-acetylglucosaminyltransferase subunit P	A protein that is a translation product of the human PIGP gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001

PR:000014639	sentrin-specific protease 6	A protein that is a translation product of the human SENP6 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000014638	sentrin-specific protease 5	A protein that is a translation product of the human SENP5 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000014600	translocation protein SEC63	A protein that is a translation product of the human SEC63 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000014500	sec1 family domain-containing protein 1	A protein that is a translation product of the human SCFD1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000014444	sorting and assembly machinery component 50	A protein that is a translation product of the human SAMM50 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000014431	SUMO-activating enzyme subunit 1	A protein that is a translation product of the human SAE1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000014369	RuvB-like 2	A protein that is a translation product of the human RUVBL2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000014368	RuvB-like 1	A protein that is a translation product of the human RUVBL1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000014310	RRP12-like protein	A protein that is a translation product of the human RRP12 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000014308	RNA polymerase I-specific transcription initiation factor RRN3	A protein that is a translation product of the human RRN3 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000014275	40S ribosomal protein S3	A protein that is a translation product of the human RPS3 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000014245	ribonuclease P protein subunit p30	A protein that is a translation product of the human RPP30 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000014144	mRNA cap guanine-N7 methyltransferase	A protein that is a translation product of the human RNMT gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000014019	serine/threonine-protein kinase RIO1	A protein that is a translation product of the human RIOK1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000013999	rapamycin-insensitive companion of mTOR	A protein that is a translation product of the human RICTOR gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000013919	protein RFT1	A protein that is a translation product of the human RFT1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000013908	replication factor C subunit 4	A protein that is a translation product of the human RFC4 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000013905	replication factor C subunit 1	A protein that is a translation product of the human RFC1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000013837	RNA 3'-terminal phosphate cyclase-like protein	A protein that is a translation product of the human RCL1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000013735	regulatory-associated protein of mTOR	A protein that is a translation product of the human RPTOR gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000013505	periodic tryptophan protein 2	A protein that is a translation product of the human PWP2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000013504	periodic tryptophan protein 1	A protein that is a translation product of the human PWP1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000013390	26S proteasome non-ATPase regulatory subunit 8	A protein that is a translation product of the human PSMD8 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000013387	26S proteasome non-ATPase regulatory subunit 3	A protein that is a translation product of the human PSMD3 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001

PR:000016951	SUMO-activating enzyme subunit 2	A protein that is a translation product of the human UBA2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000016717	tRNA-splicing endonuclease subunit Sen54	A protein that is a translation product of the human TSEN54 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000016716	tRNA-splicing endonuclease subunit Sen34	A protein that is a translation product of the human TSEN34 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000016715	tRNA-splicing endonuclease subunit Sen2	A protein that is a translation product of the human TSEN2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000016705	tRNA 2'-phosphotransferase 1	A protein that is a translation product of the human TRPT1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000016684	tRNA (adenine-N(1)-)-methyltransferase catalytic subunit TRMT61A	A protein that is a translation product of the human TRMT61A gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000016683	tRNA (adenine-N(1)-)-methyltransferase non-catalytic subunit TRM6	A protein that is a translation product of the human TRMT6 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000016616	trafficking protein particle complex subunit 5	A protein that is a translation product of the human TRAPPC5 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
