PRO ID 	PRO Name 	PRO Term Definition 	Category 	Parent 	Ortho isoform 	

PR:000005153	T-complex protein 1 subunit epsilon	A protein that is a translation product of the human CCT5 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000025351	Yes
PR:000005152	T-complex protein 1 subunit delta	A protein that is a translation product of the human CCT4 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000025351	Yes
PR:000005151	T-complex protein 1 subunit gamma	A protein that is a translation product of the human CCT3 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000025351	Yes
PR:000005130	cyclin-H	A protein that is a translation product of the human CCNH gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000005045	cysteine--tRNA ligase, cytoplasmic	A protein that is a translation product of the human CARS gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000004862	bystin	A protein that is a translation product of the human BYSL gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000004861	ribosome production factor 1	A protein that is a translation product of the human RPF1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000004835	TATA-binding protein-associated factor 172	A protein that is a translation product of the human BTAF1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000004812	transcription factor IIIB 90 kDa subunit	A protein that is a translation product of the human BRF1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000004776	ribosome biogenesis protein BMS1	A protein that is a translation product of the human BMS1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000004684	BRCA2 and CDKN1A-interacting protein	A protein that is a translation product of the human BCCIP gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000004016	anaphase-promoting complex subunit 2	A protein that is a translation product of the human ANAPC2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000004014	anaphase-promoting complex subunit 11	A RING-box protein that is a translation product of the human ANAPC11 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000004	Yes
PR:000003943	alpha-1,3/1,6-mannosyltransferase ALG2	A protein that is a translation product of the human ALG2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000003942	UDP-N-acetylglucosamine transferase subunit ALG14	A protein that is a translation product of the human ALG14 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000003937	chitobiosyldiphosphodolichol beta-mannosyltransferase	A protein that is a translation product of the human ALG1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000003915	delta-aminolevulinic acid dehydratase	A protein that is a translation product of the human ALAD gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000003854	adenosylhomocysteinase	A protein that is a translation product of the human AHCY gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000003794	adenylosuccinate lyase	A protein that is a translation product of the human ADSL gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000003610	acetyl-CoA acetyltransferase, mitochondrial	A protein that is a translation product of the human ACAT1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000003591	activator of basal transcription 1	A protein that is a translation product of the human ABT1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000003568	ATP-binding cassette sub-family E member 1	A protein that is a translation product of the human ABCE1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000003552	ATP-binding cassette sub-family B member 7, mitochondrial	A protein that is a translation product of the human ABCB7 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes

PR:000006147	cytochrome P450 51A1	A protein that is a translation product of the human CYP51A1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006059	pre-mRNA-splicing factor CWC22	A protein that is a translation product of the human CWC22 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000005978	cleavage stimulation factor 77 kDa subunit	A protein that is a translation product of the human CSTF3 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000005929	exportin-2	A protein that is a translation product of the human CSE1L gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000005852	DNA-directed RNA polymerase III subunit RPC9	A protein that is a translation product of the human CRCP gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000005829	cleavage and polyadenylation specificity factor subunit 2	A protein that is a translation product of the human CPSF2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000005826	coproporphyrinogen-III oxidase, mitochondrial	A protein that is a translation product of the human CPOX gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000005737	coatomer subunit gamma	A protein that is a translation product of the human COPG1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000005734	coatomer subunit beta	A protein that is a translation product of the human COPB1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000005687	conserved oligomeric Golgi complex subunit 4	A protein that is a translation product of the human COG4 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000005624	UMP-CMP kinase	A protein that is a translation product of the human CMPK1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000005598	pre-mRNA cleavage complex II protein Clp1	A protein that is a translation product of the human CLP1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000005489	anamorsin	A protein that is a translation product of the human CIAPIN1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000005488	protein CIAO1	A protein that is a translation product of the human CIAO1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000005372	centrin-3	A protein that is a translation product of the human CETN3 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000005265	cell division protein kinase 7	A CDK2-related kinase that is a translation product of the human CDK7 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000003270	Yes
PR:000005251	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	A protein that is a translation product of the human CDIPT gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000005218	cell division cycle 7-related protein kinase	A protein that is a translation product of the human CDC7 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000005215	CDC45-related protein	A protein that is a translation product of the human CDC45 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000005204	cell division control protein 42	A protein that is a translation product of the human CDC42 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000005195	cell division cycle protein 27	A protein that is a translation product of the human CDC27 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000005190	cell division cycle protein 23	A protein that is a translation product of the human CDC23 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000005187	cell division cycle protein 16	A protein that is a translation product of the human CDC16 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000005183	cell division cycle protein 123	A protein that is a translation product of the human CDC123 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes

PR:000006963	translation initiation factor eIF-2B subunit beta	A protein that is a translation product of the human EIF2B2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006905	elongation factor 1-beta	A protein that is a translation product of the human EEF1B2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006760	deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial	A protein that is a translation product of the human DUT gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006685	protein Dr1	A protein that is a translation product of the human DR1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006656	dolichol-phosphate mannosyltransferase	A protein that is a translation product of the human DPM1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006643	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase	A protein that is a translation product of the human DPAGT1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006635	dolichol kinase	A protein that is a translation product of the human DOLK gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006554	DNA replication ATP-dependent helicase/nuclease DNA2	A protein that is a translation product of the human DNA2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006498	H/ACA ribonucleoprotein complex subunit 4	A protein that is a translation product of the human DKC1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006491	exosome complex exonuclease RRP44	A protein that is a translation product of the human DIS3 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006473	ATP-dependent RNA helicase DHX8	A protein that is a translation product of the human DHX8 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006472	pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16	A protein that is a translation product of the human DHX38 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006461	deoxyhypusine synthase	A protein that is a translation product of the human DHPS gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006455	dehydrodolichyl diphosphate synthase	A protein that is a translation product of the human DHDDS gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006377	digestive organ expansion factor	A protein that is a translation product of the human DIEXF gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006370	ATP-dependent RNA helicase DDX55	A protein that is a translation product of the human DDX55 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006369	ATP-dependent RNA helicase DDX54	A protein that is a translation product of the human DDX54 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006368	ATP-dependent RNA helicase DDX51	A protein that is a translation product of the human DDX51 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006356	ATP-dependent RNA helicase DDX18	A protein that is a translation product of the human DDX18 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006352	dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	A protein that is a translation product of the human DDOST gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006347	DNA damage-inducible transcript 3 protein	A protein that is a translation product of the human DDIT3 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006319	m7GpppN-mRNA hydrolase	A protein that is a translation product of the human DCP2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006281	aspartyl-tRNA synthetase, cytoplasmic	A protein that is a translation product of the human DARS gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006266	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1	A protein that is a translation product of the human DAD1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes

PR:000007448	squalene synthase	A protein that is a translation product of the human FDFT1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007433	rRNA-processing protein FCF1	A protein that is a translation product of the human FCF1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007427	F-box/WD repeat-containing protein 7	A protein that is a translation product of the human FBXW7 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007347	phenylalanine--tRNA ligase beta subunit	A protein that is a translation product of the human FARSB gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007346	phenylalanine--tRNA ligase alpha subunit	A protein that is a translation product of the human FARSA gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007266	exosome complex component RRP45	A protein that is a translation product of the human EXOSC9 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007262	exosome complex component RRP46	A protein that is a translation product of the human EXOSC5 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007261	exosome complex component RRP41	A protein that is a translation product of the human EXOSC4 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007259	exosome complex component RRP4	A protein that is a translation product of the human EXOSC2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007256	exocyst complex component 8	A protein that is a translation product of the human EXOC8 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007252	exocyst complex component 5	A protein that is a translation product of the human EXOC5 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007214	eukaryotic peptide chain release factor subunit 1	A protein that is a translation product of the human ETF1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007165	TFIIH basal transcription factor complex helicase XPB subunit	A protein that is a translation product of the human ERCC3 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007164	TFIIH basal transcription factor complex helicase XPD subunit	A protein that is a translation product of the human ERCC2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007015	zinc phosphodiesterase ELAC protein 2	A protein that is a translation product of the human ELAC2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007007	eukaryotic translation initiation factor 6	A protein that is a translation product of the human EIF6 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007006	eukaryotic translation initiation factor 5B	A protein that is a translation product of the human EIF5B gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007002	eukaryotic translation initiation factor 5	A protein that is a translation product of the human EIF5 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006988	eukaryotic initiation factor 4A-III	A protein that is a translation product of the human EIF4A3 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006981	eukaryotic translation initiation factor 3 subunit I	A protein that is a translation product of the human EIF3I gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006979	eukaryotic translation initiation factor 3 subunit G	A protein that is a translation product of the human EIF3G gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006973	eukaryotic translation initiation factor 3 subunit A	A protein that is a translation product of the human EIF3A gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006971	eukaryotic translation initiation factor 2 subunit 1	A protein that is a translation product of the human EIF2S1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000006964	translation initiation factor eIF-2B subunit gamma	A protein that is a translation product of the human EIF2B3 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes

PR:000008316	general transcription factor IIF subunit 2	A protein that is a translation product of the human GTF2F2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000008313	transcription initiation factor IIB	A protein that is a translation product of the human GTF2B gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000008310	transcription initiation factor IIA subunit 1	A protein that is a translation product of the human GTF2A1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000008182	GPN-loop GTPase 3	A protein that is a translation product of the human GPN3 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000008181	GPN-loop GTPase 2	A protein that is a translation product of the human GPN2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000008180	GPN-loop GTPase 1	A protein that is a translation product of the human GPN1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000008158	glycosylphosphatidylinositol anchor attachment 1 protein	A protein that is a translation product of the human GPAA1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000008124	glucosamine 6-phosphate N-acetyltransferase	A protein that is a translation product of the human GNPNAT1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000008116	nucleolar GTP-binding protein 2	A protein that is a translation product of the human GNL2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000008076	mannose-1-phosphate guanyltransferase beta	A protein that is a translation product of the human GMPPB gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000008058	glutamine synthetase	A protein that is a translation product of the human GLUL gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000008024	nucleoporin GLE1	A protein that is a translation product of the human GLE1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007985	DNA replication complex GINS protein SLD5	A protein that is a translation product of the human GINS4 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007984	DNA replication complex GINS protein PSF3	A protein that is a translation product of the human GINS3 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007983	DNA replication complex GINS protein PSF2	A protein that is a translation product of the human GINS2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007982	DNA replication complex GINS protein PSF1	A protein that is a translation product of the human GINS1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007940	FAD-linked sulfhydryl oxidase ALR	A protein that is a translation product of the human GFER gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007893	GTP cyclohydrolase 1	A protein that is a translation product of the human GCH1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007659	neuronal calcium sensor 1	A protein that is a translation product of the human NCS1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007591	protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	A protein that is a translation product of the human FNTA gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007453	ferrochelatase, mitochondrial	A protein that is a translation product of the human FECH gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007452	NADPH:adrenodoxin oxidoreductase, mitochondrial	A protein that is a translation product of the human FDXR gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007451	adrenodoxin-like protein, mitochondrial	A protein that is a translation product of the human FDX1L gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000007449	farnesyl pyrophosphate synthetase	A protein that is a translation product of the human FDPS gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes

PR:000010242	DNA replication licensing factor MCM2	A protein that is a translation product of the human MCM2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000010091	protein MAK16	A protein that is a translation product of the human MAK16 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000009971	target of rapamycin complex subunit LST8	A protein that is a translation product of the human MLST8 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000009969	lanosterol synthase	A protein that is a translation product of the human LSS gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000009963	U6 snRNA-associated Sm-like protein LSm5	A protein that is a translation product of the human LSM5 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000009962	U6 snRNA-associated Sm-like protein LSm4	A protein that is a translation product of the human LSM4 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000009800	DNA ligase 1	A protein that is a translation product of the human LIG1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000009675	LAS1-like protein	A protein that is a translation product of the human LAS1L gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000009674	leucyl-tRNA synthetase, cytoplasmic	A protein that is a translation product of the human LARS gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000009449	KRR1 small subunit processome component	A protein that is a translation product of the human KRR1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000009276	3-ketodihydrosphingosine reductase	A protein that is a translation product of the human KDSR gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000009241	lysyl-tRNA synthetase	A protein that is a translation product of the human KARS gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000009016	U3 small nucleolar ribonucleoprotein protein IMP4	A protein that is a translation product of the human IMP4 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000009015	U3 small nucleolar ribonucleoprotein protein IMP3	A protein that is a translation product of the human IMP3 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000008876	isoleucyl-tRNA synthetase, cytoplasmic	A protein that is a translation product of the human IARS gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
PR:000008828	histone acetyltransferase KAT5	A protein that is a translation product of the human KAT5 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	Yes
