HomoloGene ID,mouse_id,mouse_symbol,yeast_eg,yeast_symbol
1534,14272,Fnta,853849,RAM2
1547,353172,Gars,852418,GRS1
1571,14718,Got1,850714,AAT2
1592,15115,Hars,856145,HTS1
1609,208715,Hmgcs1,854913,ERG13
1624,15525,Hspa4,855998,SSE1
1626,15510,Hspd1,850963,HSP60
1642,20589,Ighmbp2,853852,HCS1
1707,16211,Kpnb1,851061,KAP95
1710,70572,Ipo5,855356,PSE1
1736,319583,Lig4,854166,DNL4
1768,56150,Mad2l1,853422,MAD2
1791,17215,Mcm3,856680,MCM3
1821,17420,Mnat1,852071,TFB3
1825,110119,Mpi,856720,PMI40
1830,55993,Msh4,850545,MSH4
1838,66902,Mtap,850704,MEU1
1843,192156,Mvd,855779,MVD1
1857,26425,Nubp1,852789,NBP35
1875,74164,Nfx1,855708,FAP1
1902,67459,Nvl,850625,RIX7
1906,18263,Odc1,853651,SPE1
1909,18294,Ogg1,854942,OGG1
1936,18479,Pak1,856382,STE20
1945,18538,Pcna,852385,POL30
1972,56612,Pfdn5,854879,GIM5
1980,18673,Phb,853033,PHB1
1982,18700,Piga,855928,SPT14
1986,225326,Pik3c3,850941,VPS34
2004,53317,Plrg1,855952,PRP46
2014,18971,Pold1,851456,POL3
2016,18975,Polg,854508,MIP1
2017,20021,Polr2c,854791,RPB3
2018,66420,Polr2e,852451,RPB5
2019,67710,Polr2g,852013,RPB7
2032,66385,Ppp1r7,853641,SDS22
2038,56420,Ppp4c,851647,PPH3
2060,23939,Mapk7,856425,SLT2
2080,26440,Psma1,855362,PRE5
2081,19166,Psma2,854882,PRE8
2082,19167,Psma3,854544,PRE10
2083,26441,Psma4,853036,PRE9
2084,26442,Psma5,853168,PUP2
2085,26443,Psma6,852873,SCL1
2086,73677,Psma8,854119,PRE6
2087,19170,Psmb1,852239,PRE7
2088,26445,Psmb2,856731,PRE1
2089,26446,Psmb3,856830,PUP3
2090,19172,Psmb4,850611,PRE4
2092,19175,Psmb6,853456,PRE3
2093,19177,Psmb7,854328,PUP1
2095,19179,Psmc1,851557,RPT2
2096,19181,Psmc2,853712,RPT1
2097,19182,Psmc3,854284,RPT5
2098,19184,Psmc5,852834,RPT6
2100,70247,Psmd1,854735,RPN2
2101,21762,Psmd2,856422,RPN1
2102,22123,Psmd3,856742,RPN3
2104,17463,Psmd7,854435,RPN8
2106,67151,Psmd9,854810,NAS2
2108,69077,Psmd11,851461,RPN6
2109,66997,Psmd12,851408,RPN5
2110,23997,Psmd13,852037,RPN9
2155,19361,Rad51,856831,RAD51
2185,19704,Upf1,855104,NAM7
2187,19687,Rfc1,854392,RFC1
2188,69263,Rfc3,852383,RFC5
2205,24015,Abce1,851665,RLI1
2208,68275,Rpa1,851266,RFA1
2212,56282,Mrpl12,852811,MNP1
2255,67680,Sdhb,850685,SDH2
2308,67155,Smarca2,854680,STH1
2342,107652,Uap1,851455,QRI1
2355,20775,Sqle,853086,ERG1
2381,56389,Stx5a,850713,SED5
2384,20924,Supt5,854999,SPT5
2404,21374,Tbp,856891,SPT15
2425,76688,Arfrp1,856056,ARL3
2455,98386,Lbr,855441,ERG24
2467,21969,Top1,854156,TOP1
2490,233870,Tufm,854359,TUF1
2506,56550,Ube2d2a,852376,UBC4
2531,22327,Vbp1,852969,PAC10
2554,103573,Xpo1,853133,CRM1
2567,12785,Cnbp,855466,GIS2
2592,252870,Usp7,855350,UBP15
2616,12544,Cdc45,850793,CDC45
2676,66679,Rae1,856844,GLE2
2691,56535,Pex3,851929,PEX3
2699,230233,Ikbkap,851100,IKI3
2701,107435,Hat1,856106,HAT1
2729,98256,Kmo,852179,BNA4
2730,107271,Yars,853097,TYS1
2739,20872,Stk16,855840,ENV7
2754,56041,Uso1,851501,USO1
2779,13669,Eif3a,852371,RPG1
2780,27979,Eif3b,854543,PRT1
2781,56347,Eif3c,855357,NIP1
2784,53356,Eif3g,852039,TIF35
2786,54709,Eif3i,855177,TIF34
2791,228960,Stx16,854142,TLG2
2794,56208,Becn1,855983,VPS30
2809,59022,Edf1,854474,MBF1
2811,209131,Snx30,853416,SNX4
2839,108124,Napa,852230,SEC17
2856,20916,Sucla2,853159,LSC2
2897,20397,Sgpl1,851888,DPL1
2899,69957,Cdc16,853846,CDC16
2900,22687,Zfp259,853125,ZPR1
2903,224045,Eif2b5,851797,GCD6
2908,108012,Ap1s2,850868,APS1
2925,70789,Kynu,850933,BNA5
2926,11776,Ap3d1,855906,APL5
2952,22192,Ube2m,851015,UBC12
2979,109674,Ampd2,854973,AMD1
2983,108147,Atic,855149,ADE17
2985,11946,Atp5a1,852177,ATP1
2986,114143,Atp6v0b,856421,VMA16
2991,53414,Bysl,852549,ENP1
2994,229905,Ccbl2,853386,BNA3
3001,232910,Ap2s1,853521,APS2
3020,13665,Eif2s1,853463,SUI2
3034,14156,Fen1,853747,RAD27
3060,13494,Drg1,851195,RBG1
3064,19087,Prkar2a,854778,BCY1
3073,66945,Sdha,853709,SDH1
3074,20425,Shmt1,850747,SHM2
3084,22375,Wars,854056,WRS1
3119,66144,Atp6v1f,852903,VMA7
3125,69716,Trip13,852484,PCH2
3133,20624,Eftud2,853681,SNU114
3138,18786,Plaa,853667,DOA1
3159,327942,Pigl,855324,GPI12
3160,73078,Pmpcb,850860,MAS1
3171,14544,Gda,851360,GUD1
3175,11306,Abcb7,855347,ATM1
3193,66821,Bcs1l,851981,BCS1
3210,67615,Ube2r2,851624,CDC34
3218,12847,Copa,851410,COP1
3221,69802,Cox11,855971,COX11
3238,13209,Ddx6,851394,DHH1
3275,66841,Etfdh,854538,CIR2
3279,13482,Dpp4,856423,DAP2
3280,66590,Farsa,850522,FRS2
3281,14137,Fdft1,856597,ERG9
3304,235459,Gtf2a2,853807,TOA2
3315,319554,Idi1,855986,IDI1
3325,17216,Mcm2,852258,MCM2
3357,229487,Pet112,852198,PET112
3371,19352,Rabggtb,856306,BET2
3374,52892,Sco1,852325,SCO1
3381,107686,Snrpd2,850981,SMD2
3408,19349,Rab7,855012,YPT7
3426,52563,Cdc23,856571,CDC23
3437,19733,Rgn,852342,YBR053C
3444,11972,Atp6v0d1,851168,VMA6
3446,70052,Prpf4,856307,PRP4
3452,27966,Rrp9,856255,RRP9
3475,225363,Etf1,852440,SUP45
3476,11416,Slc33a1,852521,YBR220C
3499,50797,Copb2,852740,SEC27
3521,74142,Lonp1,852259,PIM1
3572,67300,Cltc,852666,CHC1
3586,20016,Polr1c,856226,RPC40
3597,20333,Sec22b,850973,SEC22
3606,11758,Prdx6,852215,PRX1
3615,218811,Sec24c,856498,SFB3
3620,12345,Capzb,854777,CAP2
3623,12568,Cdk5,856076,PHO85
3628,217207,Dhx8,856732,PRP22
3637,56717,Mtor,853632,TOR2
3645,15925,Ide,851105,STE23
3672,20826,Nhp2l1,856687,SNU13
3690,18817,Plk1,855013,CDC5
3693,50911,Exosc9,851874,RRP45
3702,110816,Pwp2,850422,PWP2
3709,213464,Rbbp5,851265,SWD1
3762,12460,Ccs,855054,CCS1
3780,59025,Usp14,850562,UBP6
3792,11949,Atp5c1,852327,ATP3
3795,11975,Atp6v0a1,854444,VPH1
3836,50505,Ercc4,856085,RAD1
3897,15159,Hccs,853775,CYT2
3903,53323,Ube2k,851757,UBC1
3908,14828,Hspa5,853418,KAR2
3918,17299,Mettl1,851326,TRM8
3973,58184,Rqcd1,855428,CAF40
3974,13006,Smc3,853371,SMC3
3981,57315,Wdr46,856815,UTP7
4002,329777,Pigk,851931,GPI8
4015,70099,Smc4,850775,SMC4
4017,11767,Ap1m1,855869,APM1
4018,50995,Uba2,851998,UBA2
4019,56459,Sae1,856310,AOS1
4037,67834,Idh3a,854303,IDH2
4053,85305,Kars,851607,KRS1
4083,17535,Mre11a,855264,MRE11
4091,27045,Nit1,853316,NIT2
4160,23874,Farsb,850749,FRS1
4177,68089,Arpc4,853856,ARC19
4178,56378,Arpc3,851085,ARC18
4181,66713,Actr2,851532,ARP2
4210,12607,Cebpz,851632,MAK21
4212,30956,Aass,855786,LYS9
4217,59028,Rcl1,854152,RCL1
4228,208624,Alg3,852196,ALG3
4240,59029,Psmd14,850554,RPN11
4252,110172,Slc35b1,855832,HUT1
4254,11777,Ap3s1,853429,APS3
4261,15473,Hrsp12,856785,HMF1
4277,230709,Zmpste24,853581,STE24
4323,17220,Mcm7,852501,MCM7
4337,70478,Mipep,853724,OCT1
4349,17769,Mthfr,852752,MET13
4373,12462,Cct3,853438,CCT3
4377,50933,Uchl3,853562,YUH1
4378,66694,Uqcrfs1,856689,RIP1
4394,98828,Cdc123,850912,CDC123
4443,50769,Atp8a2,851207,DRS2
4446,14694,Gnb2l1,855143,ASC1
4485,18002,Nedd8,851717,RUB1
4502,18195,Nsf,852372,SEC18
4531,23988,Pin1,853475,ESS1
4539,18973,Pole,855459,POL2
4541,69920,Polr2i,852810,RPB9
4550,19060,Ppp5c,853023,PPT1
4551,108079,Prkaa2,852088,SNF1
4587,22321,Vars,852986,VAS1
4597,24061,Smc1a,850540,SMC1
4617,14791,Emg1,850883,EMG1
4620,21855,Timm17b,853298,TIM17
4631,21856,Timm44,854790,TIM44
4642,20334,Sec23a,856311,SEC23
4659,233726,Ipo7,853596,NMD5
4660,67134,Nop56,850894,NOP56
4662,74244,Atg7,856576,ATG7
4664,69724,Rnaseh2a,855652,RNH201
4675,56443,Arpc1a,852536,ARC40
4681,268656,Sptlc1,855342,LCB1
4687,211673,Arfgef1,851748,SEC7
4694,12468,Cct7,853333,CCT7
4695,12464,Cct4,851412,CCT4
4696,12461,Cct2,854664,CCT2
4705,14211,Smc2,850589,SMC2
4706,192159,Prpf8,856570,PRP8
4711,213773,Tbl3,850919,UTP13
4722,70408,Polr3f,855737,RPC34
4744,23996,Psmc4,852003,RPT3
4751,20226,Sars,851587,SES1
4760,64050,Yeats4,855616,YAF9
4771,56032,Nprl2,856647,NPR2
4778,56418,Ykt6,853638,YKT6
4788,69955,Fars2,856160,MSF1
4802,12469,Cct8,853447,CCT8
4851,270166,Clpx,852528,MCX1
4856,20174,Ruvbl2,855841,RVB2
4880,109801,Glo1,855009,GLO1
4887,73744,Man2c1,852721,AMS1
4904,17218,Mcm5,850980,MCM5
4916,21351,Taldo1,851068,TAL1
4926,72399,Brap,856376,ETP1
4937,269470,Wdr3,850820,DIP2
4944,11757,Prdx3,852064,TSA2
4947,69597,Afg3l2,856737,AFG3
4965,20867,Stip1,854192,STI1
4973,77987,Ascc3,853187,SLH1
4981,56307,Metap2,852187,MAP2
4997,79464,Lias,854371,LIP5
5013,17711,CYTB,854583,COB
5014,17710,COX3,854627,COX3
5016,17708,COX1,854598,COX1
5017,17709,COX2,854622,COX2
5035,170718,Idh3b,855691,IDH1
5044,235293,Sc5d,850745,ERG3
5064,226182,Taf5,852497,TAF5
5072,14977,Slc39a7,854789,YKE4
5093,78394,Ddx52,852704,ROK1
5096,68612,Ube2c,854517,UBC11
5114,52705,Krr1,850298,KRR1
5124,218832,Polr3a,854283,RPO31
5129,103136,Pwp1,850893,PWP1
5135,13404,Dmc1,856926,DMC1
5168,269523,Vcp,851431,CDC48
5207,114741,Supt16,852665,SPT16
5211,114863,Prosc,852244,YBL036C
5238,80915,Dusp12,854844,YVH1
5239,27681,Snf8,856105,SNF8
5240,13680,Ddx19a,854211,DBP5
5250,22365,Vps45,852785,VPS45
5257,74254,Gpn1,853535,NPA3
5263,12034,Phb2,853146,PHB2
5296,67920,Mak16,851208,MAK16
5297,217734,Pomt2,851210,PMT2
5325,105148,Iars,852202,ILS1
5343,328370,Rft1,852261,RFT1
5353,56075,Pdss1,852288,COQ1
5356,67895,Ppa1,852296,IPP1
5361,67059,Ola1,852313,OLA1
5362,26922,Mecr,852314,ETR1
5364,103711,Pnpo,852323,PDX3
5372,54632,Ftsj1,852353,TRM7
5387,208211,Alg1,852407,ALG1
5388,53893,Nudt5,852408,YSA1
5403,217365,Nploc4,852468,NPL4
5411,21982,Tmem165,852485,GDT1
5426,14376,Ganab,852530,ROT2
5429,83704,Slc12a9,852537,VHC1
5431,69692,Hddc2,852544,YBR242W
5436,66226,Trappc2,852556,TRS20
5439,66617,Ntmt1,852564,TAE1
5463,18041,Nfs1,850343,NFS1
5467,74451,Pgs1,850352,PGS1
5468,67830,Rer1,850354,RER1
5472,57784,Bin3,850367,RVS161
5474,231293,Cwh43,850376,CWH43
5482,71336,Rbks,850402,RBK1
5484,320655,Pgap3,850411,PER1
5486,66138,Wbscr22,850414,BUD23
5489,232078,Thnsl2,850420,THR4
5490,16210,Impact,850423,YIH1
5494,217011,Nle1,850435,RSA4
5513,67078,Pgp,851362,PHO13
5517,228998,Arfgap1,851372,GCS1
5518,66044,Dtd1,851307,DTD1
5524,52530,Nhp2,851319,NHP2
5534,98314,D2hgdh,851376,DLD2
5540,102216272,Ak6,851388,FAP7
5553,208638,Slc25a38,851439,YDL119C
5574,22196,Ube2i,851495,UBC9
5576,104662,Tsr1,851499,TSR1
5578,331026,Gmppb,851504,PSA1
5589,72026,Trmu,851529,SLM3
5590,71990,Ddx54,851530,DBP10
5602,192170,Eif4a3,851584,FAL1
5607,227095,Hibch,851606,EHD3
5610,67005,Polr3k,851615,RPC11
5632,212528,Trmt1,851698,TRM1
5650,76983,Scfd1,851770,SLY1
5652,68087,Dcakd,851777,CAB5
5656,21454,Tcp1,851798,TCP1
5664,70349,Copb1,851824,SEC26
5666,75731,Idnk,851835,YDR248C
5671,668173,Pex10,851858,PEX10
5673,70560,Wars2,851861,MSW1
5675,66084,Rmnd1,851876,YDR282C
5706,73736,Fcf1,851939,FCF1
5707,109093,Rars2,851942,YDR341C
5719,14299,Ncs1,851979,FRQ1
5725,71711,Mus81,851994,MUS81
5735,57295,Icmt,852019,STE14
5745,74150,Slc35f5,854990,YML018C
5754,66682,Trappc5,852083,TRS31
5757,76959,Chmp5,852097,VPS60
5775,320106,Slc38a11,856645,AVT2
5782,215951,Lace1,856658,AFG1
5783,73834,Atp6v1d,856659,VMA8
5791,170759,Atp13a1,856681,SPF1
5794,56794,Hacl1,856694,YEL020C
5799,58246,Slc35b4,856714,YEA4
5803,68995,Mcts1,856725,TMA20
5820,71147,Oxsm,856790,CEM1
5830,230577,Pars2,856820,AIM10
5835,75751,Ipo4,856846,KAP123
5844,59050,Nsa2,856863,NSA2
5848,226139,Cox15,856884,COX15
5853,60315,Myg1,856900,YER156C
5859,320632,Snrnp200,856919,BRR2
5870,107508,Eprs,852606,GUS1
5876,68291,Mto1,852616,MTO1
5881,65102,Nif3l1,852651,NIF3
5887,231659,Gcn1l1,852680,GCN1
5894,24127,Xrn1,852702,XRN1
5905,108853,Mtrf1l,852734,MRF1
5907,68017,Ftsj2,852741,MRM2
5917,224092,Lsg1,852779,LSG1
5918,103135,Pan2,852786,PAN2
5930,56737,Alg2,852815,ALG2
5931,56361,Pus1,855889,PUS1
5932,98417,Cnih4,852826,ERV14
5951,18194,Nsdhl,852883,ERG26
5952,68043,N6amt2,852884,YGR001C
5959,66628,Thg1l,852908,THG1
5960,67979,Atad1,852915,MSP1
5961,68758,Abhd11,852919,IMO32
5969,229317,Eif2a,852945,YGR054W
5982,67283,Slc25a19,852988,TPC1
5984,64934,Pes1,852995,NOP7
5998,217431,Nol10,853048,ENP2
6009,212679,Mars2,853081,MSM1
6017,109075,Exosc4,853109,SKI6
6019,58523,Elp2,853114,ELP2
6030,380959,Alg10b,853142,DIE2
6039,217707,Coq6,853170,COQ6
6040,319653,Slc25a40,853173,MTM1
6048,80744,Cwc22,853195,CWC22
6052,20932,Surf4,853201,ERV29
6073,71984,Sars2,856402,DIA4
6078,66865,Pmpca,856419,MAS2
6081,212647,Aldh4a1,856432,PUT2
6092,67755,Ddx47,856462,RRP3
6095,227715,Exosc2,856466,RRP4
6096,76357,Trmt5,856467,TRM5
6098,78914,Nadsyn1,856473,QNS1
6099,72590,Ppme1,856474,PPE1
6100,320717,Pptc7,856475,PTC7
6101,326622,Upf2,856476,NMD2
6107,18952,Sept4,856507,CDC12
6108,69372,Mocs3,856511,UBA4
6110,13437,Dnpep,856513,APE4
6115,68523,Fam96b,856522,CIA2
6120,102462,Imp3,856553,IMP3
6127,97112,Nmd3,856575,NMD3
6131,21766,Tex261,856587,SVP26
6134,78928,Pigt,856595,GPI16
6149,110854,Ppp2r4,855951,RRD2
6151,69906,Slc25a32,854672,FLX1
6170,215193,Diexf,854717,UTP25
6173,106564,Ppcs,854726,CAB2
6175,72096,Mettl10,854746,SEE1
6182,320635,Cyb5r2,854768,CBR1
6202,94041,Allc,854847,DAL2
6221,65114,Vps35,853287,VPS35
6222,71780,Isyna1,853288,INO1
6229,328162,Trmt61a,853317,GCD14
6238,320806,Gfm2,853342,MEF2
6243,70325,Pigw,853354,GWT1
6257,72198,Skiv2l2,853397,MTR4
6272,76890,Memo1,853464,MHO1
6274,67556,Pigm,853470,GPI14
6275,68184,Denr,853471,TMA22
6277,56369,Apip,853481,MDE1
6285,21915,Dtymk,853520,CDC8
6287,12465,Cct5,853527,CCT5
6288,106344,Rfc4,853531,RFC2
6290,102115,Dohh,853534,LIA1
6291,18618,Pemt,853536,OPI3
6320,83493,Sacm1l,853668,SAC1
6330,27392,Pign,853690,MCD4
6333,69225,Carkd,853706,YKL151C
6337,78929,Polr3h,853713,RPC25
6347,100087,Kti12,853750,KTI12
6349,67205,Utp11l,853762,UTP11
6368,66700,Chmp3,853825,VPS24
6369,56748,Nfu1,853826,NFU1
6372,72587,Pan3,853843,PAN3
6382,68953,Chmp2a,853868,DID4
6384,74006,Dnm1l,850686,DNM1
6389,227674,Ddx31,853894,DBP7
6391,67387,Unc50,853901,GMH1
6395,66246,Osgep,853910,KAE1
6399,27096,Trappc3,853942,BET3
6404,67239,Rpf2,853956,RPF2
6424,170750,Xpnpep1,850630,FRA1
6430,223499,Dcaf13,850649,SOF1
6438,66711,Sbds,850709,SDO1
6447,104444,Rexo2,850748,REX2
6449,28030,Gfm1,850758,MEF1
6451,67019,Actr6,850774,ARP6
6471,69740,Dph5,850869,DPH5
6474,56199,Abcb10,855858,MDL2
6477,67914,Coq9,850898,COQ9
6479,110379,Sec13,850905,SEC13
6487,68080,Gpn3,850944,GPN3
6488,75624,Metap1,850945,MAP1
6493,72113,Adck1,850955,YLR253W
6497,68298,Ncapd2,850977,YCS4
6498,52513,Ddx56,850982,DBP9
6499,54451,Cpsf3,850983,YSH1
6505,231279,Guf1,850996,GUF1
6507,217715,Eif2b2,850998,GCD7
6517,11837,Rplp0,851052,RPP0
6519,27376,Slc25a10,851063,DIC1
6520,52633,Nit2,851065,NIT3
6526,102436,Lars2,851098,NAM2
6528,234729,Vac14,851102,VAC14
6533,224907,Dus3l,851117,DUS3
6535,71916,Dus4l,851121,DUS4
6536,225348,Wdr36,851125,UTP21
6553,228812,Pigu,851181,GAB1
6559,52064,Coq5,854930,COQ5
6564,70396,Asnsd1,854877,YML096W
6566,268756,Gulo,854888,ALO1
6574,67456,Ergic2,854935,ERV41
6581,228875,Slc35c2,854970,YMD8
6585,22256,Ung,854987,UNG1
6599,22213,Ube2g2,855036,UBC7
6600,70359,Gtpbp3,855037,MSS1
6607,93757,Immp2l,855051,IMP2
6612,12181,Bop1,855068,ERB1
6628,22388,Wdr1,855117,AIP1
6629,105372,Utp15,855118,UTP15
6644,101612,Grwd1,855161,RRB1
6681,22782,Slc30a1,855284,ZRC1
6693,66681,Pgm1,855321,PGM3
6697,66942,Ddx18,855335,HAS1
6699,76563,Qrsl1,855338,HER2
6713,103199,Fig4,855392,FIG4
6716,68904,Abhd13,855396,YNL320W
6730,72151,Rfc5,855426,RFC3
6752,78244,Dnajc21,855495,JJJ1
6754,68991,Ssu72,855499,SSU72
6756,102580,Alg9,855502,ALG9
6760,67045,Riok2,855514,RIO2
6768,66419,Mrpl11,855536,MRPL19
6774,68636,Fahd1,855553,FMP41
6779,66361,Zfand1,855567,YNL155W
6781,66094,Lsm7,855575,LSM7
6785,98956,Nat10,855591,KRE33
6797,13207,Ddx5,855611,DBP2
6802,18968,Pola1,855621,POL1
6806,67383,2410127L17Rik,855632,YNL092W
6814,235339,Dlat,855653,LAT1
6818,109275,Actr5,855665,ARP5
6820,16993,Lta4h,855682,LAP2
6821,69684,Aarsd1,855688,YNL040W
6828,100609,Nsun5,855709,RCM1
6833,56716,Mlst8,855726,LST8
6834,67582,Slc25a26,855729,PET8
6843,226043,Cbwd1,855763,YNR029C
6848,24030,Mrps12,855772,MRPS12
6858,230737,Gnl2,855789,NOG2
6867,66362,Exosc3,854023,RRP40
6875,229780,Trmt13,853995,TRM13
6876,73681,Trmt11,853996,TRM11
6885,19718,Rfc2,854059,RFC4
6886,108943,Trmt10a,854060,TRM10
6899,11898,Ass1,854096,ARG1
6907,67417,Ears2,854124,MSE1
6910,72662,Dis3,854138,DIS3
6920,320438,Alg6,854163,ALG6
6927,24128,Xrn2,854213,RAT1
6931,381903,Alg8,854233,ALG8
6937,80286,Tusc3,854252,OST3
6943,19895,Rpia,854262,RKI1
6950,71340,Riok1,854286,RIO1
6953,12850,Coq7,854292,CAT5
6961,66249,Pno1,854317,PNO1
6971,67216,Mboat2,854346,ALE1
6973,107272,Psat1,854356,SER1
6980,57741,Noc2l,854381,NOC2
6981,70428,Polr3b,854382,RET1
6988,217593,Slc25a21,854397,ODC2
6992,17713,Grpel1,854407,MGE1
6997,14287,Fpgs,854415,MET7
6998,78697,Pus7,854417,PUS7
7006,100210,Gpn2,854436,GPN2
7010,66966,Trit1,854448,MOD5
7012,68833,Pdcl3,854456,PLP2
7024,55989,Nop58,854487,NOP58
7033,20019,Polr1a,854519,RPA190
7047,66254,Dimt1,855862,DIM1
7060,66248,Alg5,855874,ALG5
7065,213895,Bms1,855884,BMS1
7068,100929,Tyw1,855894,TYW1
7083,107045,Lars,855943,CDC60
7090,14885,Gtf2h4,855981,TFB2
7093,226539,Dars2,856000,MSD1
7097,70120,Yars2,856007,MSY1
7100,69237,Gtpbp4,856012,NOG1
7105,74195,Elp3,856019,ELP3
7118,381314,Iars2,856067,ISM1
7131,71832,Csl,855732,CIT1
7133,20017,Polr1b,856119,RPA135
7135,16418,Eif6,856126,TIF6
7140,226591,Tiprl,856153,TIP41
7144,78797,Ndor1,856161,TAH18
7150,27366,Txnl4a,856197,DIB1
7151,68479,Phf5a,856209,RDS3
7158,74111,Rbm19,856228,MRD1
7159,52858,Cdipt,856229,PIS1
7160,67873,Mri1,856234,MRI1
7165,67877,Naa20,856249,NAT3
7191,72825,Mon1a,852753,MON1
7387,68292,Stt3b,852862,STT3
7561,21343,Taf6,852766,TAF6
8057,26426,Nubp2,854814,CFD1
8106,217737,Ahsa1,851800,AHA1
8148,107766,Haao,853482,BNA1
8240,623474,Rad54b,852365,RDH54
8245,67815,Sec14l2,855103,SEC14
8415,17687,Msh5,851401,MSH5
8512,64340,Dhx38,853961,PRP16
8528,66403,Asf1a,853327,ASF1
8623,67375,Qprt,850608,BNA6
8624,66286,Sec11c,854840,SEC11
9205,109785,Pgm3,856652,PCM1
9359,66583,Exosc1,855489,CSL4
9366,56447,Copz1,856097,RET3
9374,70160,Vps36,851135,VPS36
9384,55951,Mpc1,852800,FMP37
9444,56371,Fzr1,852881,CDH1
9462,225215,Rsl24d1,850695,RLP24
9542,67683,Pbdc1,855876,YPL225W
9683,230027,Coq3,854057,COQ3
9765,67369,Qpctl,850573,YFR018C
9817,28114,Nsun2,852257,NCL1
10039,192287,Slc25a36,852491,RIM2
10076,232157,Mob1a,854700,MOB1
10085,66054,Cndp2,850605,DUG1
10098,57750,Wdr12,854446,YTM1
10117,59007,Ngly1,856009,PNG1
10133,67832,Brix1,854078,BRX1
10216,69082,Zc3h15,854258,TMA46
10409,218544,Sgtb,854168,SGT2
10592,78903,Wrnip1,855503,MGS1
10663,57170,Dolpp1,852924,CAX4
10865,210529,Mettl14,850303,KAR4
10975,140499,Ube2j2,856837,UBC6
