MGI:101789	P37913
MGI:1345192	Q9WVJ2
MGI:1346035	Q9WUA2
MGI:1346036	Q9QUR7
MGI:1346093	P54775
MGI:1346998	Q99KN2
MGI:1347005	Q9R1P4
MGI:1347006	Q9QUM9
MGI:1347009	Q9Z2U1
MGI:1347014	Q9R1P1
MGI:1347043	O88708
MGI:1347044	Q9WUV0
MGI:1347045	Q9R1P3
MGI:1347072	Q9R061
MGI:1347073	Q9R060
MGI:1347076	P14115
MGI:1349393	P61219
MGI:1350917	P62908
MGI:1351477	Q9ER72
MGI:1351511	P26516
MGI:1351613	P83877
MGI:1351629	Q9R1S3
MGI:1351657	Q99LE6
MGI:1351825	Q99LI7
MGI:1352500	Q9R0M5
MGI:1353636	Q9QYL7
MGI:1354692	Q9QXA5
MGI:1354695	Q8VBV4
MGI:1355319	Q9JHI7
MGI:1855699	O89116
MGI:1858197	Q922V4
MGI:1858216	P61087
MGI:1858258	Q9Z1D1
MGI:1858313	Q9Z1F9
MGI:1858419	O54825
MGI:1858696	Q9QZE5
MGI:1858963	Q9JK38
MGI:1859683	O88796
MGI:1860295	Q9DBE9
MGI:1860433	Q9JHG1
MGI:1860763	Q9QZD9
MGI:1861452	Q9JJI6
MGI:1861601	O35218
MGI:1861727	Q9ESX5
MGI:1888669	Q9CX56
MGI:1888697	Q8VI33
MGI:1890496	Q80Y81
MGI:1890613	Q9EQ61
MGI:1891825	Q9JJQ0
MGI:1913275	Q9JJT0
MGI:1913284	O35593
MGI:1913328	Q8BMZ5
MGI:1913406	Q9CPX9
MGI:1913411	Q9CR08
MGI:1913414	Q9CXK8
MGI:1913415	Q9CWI3
MGI:1913463	Q9CZB6
MGI:1913484	Q9CRA4
MGI:1913496	Q8BWU5
MGI:1913504	Q9D0D4
MGI:1913604	Q9CSN1
MGI:1913623	P62322
MGI:1913635	Q3UM45
MGI:1913663	Q99JI4
MGI:1913670	Q80UW8
MGI:1913699	Q9CQV1
MGI:1913741	P62876
MGI:1913742	Q9CPW7
MGI:1913775	Q9D880
MGI:1913808	Q8BMJ2
MGI:1913838	Q9DBP5
MGI:1913840	Q8C0C7
MGI:1913863	Q9CXY9
MGI:1913878	Q9CY52
MGI:1913883	Q9CR47
MGI:1913921	Q61458
MGI:1913932	Q9CQA1
MGI:1913961	P70122
MGI:1913976	Q6KCD5
MGI:1913989	Q8VE37
MGI:1914039	Q9D081
MGI:1914176	Q8CE96
MGI:1914192	Q8K363
MGI:1914227	Q99P69
MGI:1914247	Q9D8W5
MGI:1914255	Q9CQZ7
MGI:1914273	Q9CQ56
MGI:1914302	Q9D0F1
MGI:1914315	Q91WD1
MGI:1914339	P62334
MGI:1914384	Q9D6Z1
MGI:1914430	Q9EQQ2
MGI:1914455	Q9CZJ1
MGI:1914489	Q9JJ80
MGI:1914648	Q9DBG7
MGI:1914672	Q99KU1
MGI:1914677	P60867
MGI:1914688	Q8CFV9
MGI:1914689	Q9DCD2
MGI:1914709	Q9DBY8
MGI:1914731	Q9DBE8
MGI:1914735	Q99LL5
MGI:1914806	Q8C2R7
MGI:1914869	Q8BW10
MGI:1914924	Q9DCG9
MGI:1914960	P62488
MGI:1915092	Q8BMC4
MGI:1915098	Q6ZPL9
MGI:1915147	Q9D0L8
MGI:1915170	Q8BGS0
MGI:1915199	Q91VE6
MGI:1915205	Q9CX34
MGI:1915223	Q810V0
MGI:1915237	Q8VDG5
MGI:1915301	P61971
MGI:1915302	P62301
MGI:1915337	Q8BHC4
MGI:1915392	Q6ZPV2
MGI:1915403	Q9D902
MGI:1915415	Q9CPW2
MGI:1915545	Q9D2V5
MGI:1915773	Q9D187
MGI:1915903	Q8BGH2
MGI:1915955	Q8R0A0
MGI:1916119	Q921Y2
MGI:1916221	Q3TUH1
MGI:1916238	Q8CCF0
MGI:1916327	Q8BG32
MGI:1916487	Q99ME9
MGI:1916520	Q9CZ15
MGI:1916913	Q6P9R1
MGI:1917042	Q921D4
MGI:1917128	P62307
MGI:1917207	Q8R349
MGI:1917297	Q8K1J6
MGI:1917302	Q9DAW6
MGI:1917447	Q8BMA6
MGI:1917497	Q3TXS7
MGI:1917535	Q7TND5
MGI:1917566	Q9CR21
MGI:1917598	Q8BX13
MGI:1917599	Q9JIF7
MGI:1917890	Q9CYC6
MGI:1918000	Q6GV12
MGI:1918017	Q922U1
MGI:1918568	Q9DC61
MGI:1918590	Q922Q2
MGI:1919230	Q9JI13
MGI:1919240	Q8K4L0
MGI:1919401	Q9D0F6
MGI:1919421	Q7TMX5
MGI:1919448	Q9CZU3
MGI:1919534	Q8CH62
MGI:1919558	Q8CFK2
MGI:1919604	Q8R3H9
MGI:1919650	Q9CZX5
MGI:1919824	Q8BJ05
MGI:1919912	Q9CSH3
MGI:1920121	Q9D6I3
MGI:1920136	Q9D6J3
MGI:1920895	Q569Z5
MGI:1920986	Q9CTH6
MGI:1921019	Q9D600
MGI:1921361	Q8R3C6
MGI:1921446	Q8CD92
MGI:1921504	Q8VCE2
MGI:1921620	Q8K4Q0
MGI:1921662	Q8R322
MGI:1921664	Q9D483
MGI:1921701	Q8BHF7
MGI:1922075	Q6P7W0
MGI:1922083	Q8WTY4
MGI:1922312	Q9D554
MGI:1922666	Q8R3N1
MGI:1922946	Q91YR7
MGI:1923380	A2BE28
MGI:1923515	Q8C2A2
MGI:1923576	Q921I9
MGI:1923607	Q9D0C4
MGI:1923731	Q91VC3
MGI:1923847	Q99LZ3
MGI:1924086	Q921X6
MGI:1924233	Q8BRF7
MGI:1924555	Q8BFQ4
MGI:1925255	B2RS91
MGI:1925544	P62983
MGI:1925644	Q8K301
MGI:1925831	Q9CX11
MGI:1926007	Q6QI06
MGI:1926047	A2AI05
MGI:1926083	Q9CY94
MGI:1926178	Q8BXQ2
MGI:1926211	Q9ES56
MGI:1926273	Q9DB15
MGI:1927550	Q9CQW1
MGI:1927636	P14869
MGI:1928483	Q8K1E0
MGI:1928760	P60122
MGI:1929264	Q9R1T2
MGI:1929514	Q9DCJ1
MGI:1929520	O70251
MGI:1929608	Q9JKX4
MGI:1929742	Q9CQ85
MGI:1930075	Q9ERA6
MGI:1931051	Q9WV70
MGI:1932051	Q8CHK4
MGI:1933184	Q6DFW4
MGI:1933277	Q99PM3
MGI:1934754	Q99MN1
MGI:2136773	Q8C5N3
MGI:2137210	Q9DCU6
MGI:2138080	Q8BTT6
MGI:2138811	Q8CII2
MGI:2138939	Q8K224
MGI:2138968	Q99LI9
MGI:2139135	Q8BZQ7
MGI:2140103	Q99L48
MGI:2140151	Q8R5K4
MGI:2140368	Q8VEJ1
MGI:2140843	Q8BHY2
MGI:2141135	Q8K3A0
MGI:2141599	Q6P7W5
MGI:2141989	Q810D6
MGI:2142527	Q6PGF7
MGI:2142808	Q8R1U1
MGI:2145118	Q99LD9
MGI:2145219	Q8BU30
MGI:2145443	Q8C7V3
MGI:2145645	Q3TPX4
MGI:2146571	Q99J62
MGI:2147427	Q8VCG3
MGI:2147437	Q6P5B0
MGI:2147627	Q91WQ3
MGI:2151221	Q9DB28
MGI:2155302	Q8VHE0
MGI:2156864	P83870
MGI:2158400	Q4VBE8
MGI:2179327	Q99JF5
MGI:2183447	Q91ZJ5
MGI:2384309	Q923G2
MGI:2384560	Q8BGQ7
MGI:2384774	Q921Q3
MGI:2385053	Q3UFY0
MGI:2385071	Q8BWY3
MGI:2385133	Q8VBV3
MGI:2385191	P62915
MGI:2385207	Q99LH1
MGI:2385598	Q8BHJ9
MGI:2441772	Q05D44
MGI:2442144	Q8C092
MGI:2442480	Q7TPN3
MGI:2442544	Q922B2
MGI:2443143	Q8BHB4
MGI:2443487	Q80XC2
MGI:2443596	Q6NXL6
MGI:2443732	Q6ZQJ5
MGI:2443822	Q8BTP0
MGI:2444777	Q8C156
MGI:2445193	Q8VCY6
MGI:2655711	Q8CGC6
MGI:2660880	Q8BTZ7
MGI:2661311	Q80XL7
MGI:2677836	Q8R2Y3
MGI:2681271	Q5SX19
MGI:2681840	Q99L28
MGI:2682306	Q3UMQ8
MGI:2683592	Q3TXU5
MGI:2684913	Q5RJG1
MGI:2684929	Q6PAC3
MGI:2687325	Q6PD26
MGI:3607791	Q8C3B8
MGI:87870	Q8QZT1
MGI:87968	P50247
MGI:893586	Q9D0T1
MGI:894646	Q920N2
MGI:894687	Q9DBR1
MGI:95299	Q6ZWX6
MGI:95301	P23116
MGI:95309	P59325
MGI:95413	O08811
MGI:95414	P49135
MGI:95513	P22315
MGI:95675	Q05915
MGI:95739	P15105
MGI:96112	P22907
MGI:96242	P63038
MGI:96853	P10518
MGI:97075	Q924M7
MGI:97503	P17918
MGI:97566	Q9CYR6
MGI:97741	P52431
MGI:97757	P20664
MGI:97758	P33610
MGI:97891	P35601
MGI:98037	P62889
MGI:98084	Q91YQ5
MGI:98086	P08775
MGI:98341	Q62376
MGI:98344	P62315
MGI:98345	P62317
MGI:98447	P70279
MGI:98797	P17751
MGI:98858	P14685
MGI:98878	P07607
MGI:98916	P70697
MGI:98917	P51163
MGI:99461	Q64323
MGI:99462	O09101
MGI:99537	P53612
MGI:99690	P33611
MGI:99832	Q9D1M0
MGI:99919	Q01853
