Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P62195	PRS8_HUMAN	reviewed	26S protease regulatory subunit 8 (26S proteasome AAA-ATPase subunit RPT6) (Proteasome 26S subunit ATPase 5) (Proteasome subunit p45) (Thyroid hormone receptor-interacting protein 1) (TRIP1) (p45/SUG)	PSMC5 SUG1	Homo sapiens (Human)	406
P52815	RM12_HUMAN	reviewed	"39S ribosomal protein L12, mitochondrial (L12mt) (MRP-L12) (5c5-2)"	MRPL12 RPML12	Homo sapiens (Human)	198
P46776	RL27A_HUMAN	reviewed	60S ribosomal protein L27a	RPL27A	Homo sapiens (Human)	148
O43143	DHX15_HUMAN	reviewed	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (ATP-dependent RNA helicase #46) (DEAH box protein 15)	DHX15 DBP1 DDX15	Homo sapiens (Human)	795
Q9NWX6	THG1_HUMAN	reviewed	Probable tRNA(His) guanylyltransferase (EC 2.7.7.79) (Interphase cytoplasmic foci protein 45) (tRNA-histidine guanylyltransferase)	THG1L ICF45	Homo sapiens (Human)	298
Q92890	UFD1_HUMAN	reviewed	Ubiquitin fusion degradation protein 1 homolog (UB fusion protein 1)	UFD1L	Homo sapiens (Human)	307
Q15800	MSMO1_HUMAN	reviewed	Methylsterol monooxygenase 1 (EC 1.14.13.72) (C-4 methylsterol oxidase)	MSMO1 DESP4 ERG25 SC4MOL	Homo sapiens (Human)	293
P62314	SMD1_HUMAN	reviewed	Small nuclear ribonucleoprotein Sm D1 (Sm-D1) (Sm-D autoantigen) (snRNP core protein D1)	SNRPD1	Homo sapiens (Human)	119
Q9H6R4	NOL6_HUMAN	reviewed	Nucleolar protein 6 (Nucleolar RNA-associated protein) (Nrap)	NOL6	Homo sapiens (Human)	1146
Q969M3	YIPF5_HUMAN	reviewed	Protein YIPF5 (Five-pass transmembrane protein localizing in the Golgi apparatus and the endoplasmic reticulum 5) (Smooth muscle cell-associated protein 5) (SMAP-5) (YIP1 family member 5) (YPT-interacting protein 1 A)	YIPF5 FINGER5 YIP1A PP12723 SB140 UNQ3123/PRO10275	Homo sapiens (Human)	257
Q14534	ERG1_HUMAN	reviewed	Squalene monooxygenase (EC 1.14.13.132) (Squalene epoxidase) (SE)	SQLE ERG1	Homo sapiens (Human)	574
P54577	SYYC_HUMAN	reviewed	"Tyrosine--tRNA ligase, cytoplasmic (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS) [Cleaved into: Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed]"	YARS	Homo sapiens (Human)	528
Q9NPD3	EXOS4_HUMAN	reviewed	Exosome complex component RRP41 (Exosome component 4) (Ribosomal RNA-processing protein 41) (p12A)	EXOSC4 RRP41 SKI6	Homo sapiens (Human)	245
O75312	ZPR1_HUMAN	reviewed	Zinc finger protein ZPR1 (Zinc finger protein 259)	ZPR1 ZNF259	Homo sapiens (Human)	459
P28066	PSA5_HUMAN	reviewed	Proteasome subunit alpha type-5 (EC 3.4.25.1) (Macropain zeta chain) (Multicatalytic endopeptidase complex zeta chain) (Proteasome zeta chain)	PSMA5	Homo sapiens (Human)	241
Q96BK5	PINX1_HUMAN	reviewed	PIN2/TERF1-interacting telomerase inhibitor 1 (Liver-related putative tumor suppressor) (Pin2-interacting protein X1) (Protein 67-11-3) (TRF1-interacting protein 1)	PINX1 LPTL LPTS	Homo sapiens (Human)	328
Q16850	CP51A_HUMAN	reviewed	Lanosterol 14-alpha demethylase (LDM) (EC 1.14.13.70) (CYPLI) (Cytochrome P450 51A1) (Cytochrome P450-14DM) (Cytochrome P45014DM) (Cytochrome P450LI) (Sterol 14-alpha demethylase)	CYP51A1 CYP51	Homo sapiens (Human)	503
P49366	DHYS_HUMAN	reviewed	Deoxyhypusine synthase (DHS) (EC 2.5.1.46)	DHPS DS	Homo sapiens (Human)	369
Q32P41	TRM5_HUMAN	reviewed	tRNA (guanine(37)-N1)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase) (tRNA methyltransferase 5 homolog)	TRMT5 KIAA1393 TRM5	Homo sapiens (Human)	509
P48449	ERG7_HUMAN	reviewed	"Lanosterol synthase (EC 5.4.99.7) (2,3-epoxysqualene--lanosterol cyclase) (Oxidosqualene--lanosterol cyclase) (OSC) (hOSC)"	LSS OSC	Homo sapiens (Human)	732
Q9H9Y2	RPF1_HUMAN	reviewed	Ribosome production factor 1 (Brix domain-containing protein 5) (Ribosome biogenesis protein RPF1)	RPF1 BXDC5	Homo sapiens (Human)	349
P51530	DNA2_HUMAN	reviewed	DNA replication ATP-dependent helicase/nuclease DNA2 (hDNA2) (DNA replication ATP-dependent helicase-like homolog) [Includes: DNA replication nuclease DNA2 (EC 3.1.-.-); DNA replication ATP-dependent helicase DNA2 (EC 3.6.4.12)]	DNA2 DNA2L KIAA0083	Homo sapiens (Human)	1060
Q96D46	NMD3_HUMAN	reviewed	60S ribosomal export protein NMD3 (hNMD3)	NMD3 CGI-07	Homo sapiens (Human)	503
Q99460	PSMD1_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 1 (26S proteasome regulatory subunit RPN2) (26S proteasome regulatory subunit S1) (26S proteasome subunit p112)	PSMD1	Homo sapiens (Human)	953
Q9HAB8	PPCS_HUMAN	reviewed	Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (Phosphopantothenoylcysteine synthetase) (PPC synthetase)	PPCS COAB	Homo sapiens (Human)	311
Q6PI26	SHQ1_HUMAN	reviewed	Protein SHQ1 homolog	SHQ1	Homo sapiens (Human)	577
P04843	RPN1_HUMAN	reviewed	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 (EC 2.4.99.18) (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDa subunit) (Ribophorin I) (RPN-I) (Ribophorin-1)	RPN1	Homo sapiens (Human)	607
P42285	SK2L2_HUMAN	reviewed	Superkiller viralicidic activity 2-like 2 (EC 3.6.4.13) (ATP-dependent RNA helicase SKIV2L2) (TRAMP-like complex helicase)	SKIV2L2 KIAA0052 Mtr4	Homo sapiens (Human)	1042
Q9Y3D7	TIM16_HUMAN	reviewed	Mitochondrial import inner membrane translocase subunit TIM16 (Mitochondria-associated granulocyte macrophage CSF-signaling molecule) (Presequence translocated-associated motor subunit PAM16)	PAM16 MAGMAS TIM16 TIMM16 CGI-136	Homo sapiens (Human)	125
P49005	DPOD2_HUMAN	reviewed	DNA polymerase delta subunit 2 (EC 2.7.7.7) (DNA polymerase delta subunit p50)	POLD2	Homo sapiens (Human)	469
Q13526	PIN1_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase Pin1) (PPIase Pin1) (Rotamase Pin1)	PIN1	Homo sapiens (Human)	163
P46782	RS5_HUMAN	reviewed	"40S ribosomal protein S5 [Cleaved into: 40S ribosomal protein S5, N-terminally processed]"	RPS5	Homo sapiens (Human)	204
P30085	KCY_HUMAN	reviewed	UMP-CMP kinase (EC 2.7.4.14) (Deoxycytidylate kinase) (CK) (dCMP kinase) (Nucleoside-diphosphate kinase) (EC 2.7.4.6) (Uridine monophosphate/cytidine monophosphate kinase) (UMP/CMP kinase) (UMP/CMPK)	CMPK1 CMK CMPK UCK UMK UMPK	Homo sapiens (Human)	196
Q16851	UGPA_HUMAN	reviewed	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (UDP-glucose pyrophosphorylase) (UDPGP) (UGPase)	UGP2 UGP1	Homo sapiens (Human)	508
P35998	PRS7_HUMAN	reviewed	26S protease regulatory subunit 7 (26S proteasome AAA-ATPase subunit RPT1) (Proteasome 26S subunit ATPase 2) (Protein MSS1)	PSMC2 MSS1	Homo sapiens (Human)	433
Q15435	PP1R7_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 7 (Protein phosphatase 1 regulatory subunit 22)	PPP1R7 SDS22	Homo sapiens (Human)	360
Q9NPF4	OSGEP_HUMAN	reviewed	Probable tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (O-sialoglycoprotein endopeptidase) (hOSGEP) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein OSGEP) (tRNA threonylcarbamoyladenosine biosynthesis protein OSGEP)	OSGEP GCPL1	Homo sapiens (Human)	335
Q6FI81	CPIN1_HUMAN	reviewed	Anamorsin (Cytokine-induced apoptosis inhibitor 1) (Fe-S cluster assembly protein DRE2 homolog)	CIAPIN1 CUA001 PRO0915	Homo sapiens (Human)	312
Q9BQ52	RNZ2_HUMAN	reviewed	Zinc phosphodiesterase ELAC protein 2 (EC 3.1.26.11) (ElaC homolog protein 2) (Heredity prostate cancer protein 2) (Ribonuclease Z 2) (RNase Z 2) (tRNA 3 endonuclease 2) (tRNase Z 2)	ELAC2 HPC2	Homo sapiens (Human)	826
Q9H7B2	RPF2_HUMAN	reviewed	Ribosome production factor 2 homolog (Brix domain-containing protein 1) (Ribosome biogenesis protein RPF2 homolog)	RPF2 BXDC1	Homo sapiens (Human)	306
Q8TEQ8	PIGO_HUMAN	reviewed	GPI ethanolamine phosphate transferase 3 (EC 2.-.-.-) (Phosphatidylinositol-glycan biosynthesis class O protein) (PIG-O)	PIGO UNQ632/PRO1249	Homo sapiens (Human)	1089
Q9Y3A5	SBDS_HUMAN	reviewed	Ribosome maturation protein SBDS (Shwachman-Bodian-Diamond syndrome protein)	SBDS CGI-97	Homo sapiens (Human)	250
Q13190	STX5_HUMAN	reviewed	Syntaxin-5	STX5 STX5A	Homo sapiens (Human)	355
O43292	GPAA1_HUMAN	reviewed	Glycosylphosphatidylinositol anchor attachment 1 protein (GPI anchor attachment protein 1) (GAA1 protein homolog) (hGAA1)	GPAA1 GAA1	Homo sapiens (Human)	621
P62979	RS27A_HUMAN	reviewed	Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a]	RPS27A UBA80 UBCEP1	Homo sapiens (Human)	156
Q92979	NEP1_HUMAN	reviewed	Ribosomal RNA small subunit methyltransferase NEP1 (EC 2.1.1.-) (18S rRNA (pseudouridine(1248)-N1)-methyltransferase) (18S rRNA Psi1248 methyltransferase) (Nucleolar protein EMG1 homolog) (Protein C2f) (Ribosome biogenesis protein NEP1)	EMG1 C2F	Homo sapiens (Human)	244
P55735	SEC13_HUMAN	reviewed	Protein SEC13 homolog (SEC13-like protein 1) (SEC13-related protein)	SEC13 D3S1231E SEC13L1 SEC13R	Homo sapiens (Human)	322
O75794	CD123_HUMAN	reviewed	Cell division cycle protein 123 homolog (Protein D123) (HT-1080) (PZ32)	CDC123 C10orf7 D123	Homo sapiens (Human)	336
P60953	CDC42_HUMAN	reviewed	Cell division control protein 42 homolog (G25K GTP-binding protein)	CDC42	Homo sapiens (Human)	191
P10809	CH60_HUMAN	reviewed	"60 kDa heat shock protein, mitochondrial (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60) (HuCHA60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein)"	HSPD1 HSP60	Homo sapiens (Human)	573
P62316	SMD2_HUMAN	reviewed	Small nuclear ribonucleoprotein Sm D2 (Sm-D2) (snRNP core protein D2)	SNRPD2 SNRPD1	Homo sapiens (Human)	118
P49770	EI2BB_HUMAN	reviewed	Translation initiation factor eIF-2B subunit beta (S20I15) (S20III15) (eIF-2B GDP-GTP exchange factor subunit beta)	EIF2B2 EIF2BB	Homo sapiens (Human)	351
P05388	RLA0_HUMAN	reviewed	60S acidic ribosomal protein P0 (60S ribosomal protein L10E)	RPLP0	Homo sapiens (Human)	317
P30566	PUR8_HUMAN	reviewed	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase)	ADSL AMPS	Homo sapiens (Human)	484
Q08945	SSRP1_HUMAN	reviewed	FACT complex subunit SSRP1 (Chromatin-specific transcription elongation factor 80 kDa subunit) (Facilitates chromatin transcription complex 80 kDa subunit) (FACT 80 kDa subunit) (FACTp80) (Facilitates chromatin transcription complex subunit SSRP1) (Recombination signal sequence recognition protein 1) (Structure-specific recognition protein 1) (hSSRP1) (T160)	SSRP1 FACT80	Homo sapiens (Human)	709
Q9Y5R8	TPPC1_HUMAN	reviewed	Trafficking protein particle complex subunit 1 (BET5 homolog) (Multiple myeloma protein 2) (MUM-2)	TRAPPC1 BET5 MUM2	Homo sapiens (Human)	145
